Sample,Charge,genos_id,allotype,construct,IgGIA1H3N3F1,IgGIA1H3N4,IgGIA1H3N4F1,IgGIA1H3N5F1,IgGIA1H3N6F3,IgGIA1H4N2,IgGIA1H4N3,IgGIA1H4N3F1,IgGIA1H4N3F2,IgGIA1H4N4,IgGIA1H4N4F1,IgGIA1H4N4F1S1,IgGIA1H4N4F2,IgGIA1H4N5F1,IgGIA1H4N5F1S1,IgGIA1H4N5F2S1,IgGIA1H5N3F1,IgGIA1H5N4,IgGIA1H5N4F1,IgGIA1H5N4F1S1,IgGIA1H5N4F1S2,IgGIA1H5N4F2,IgGIA1H5N4F2S1,IgGIA1H5N4F3,IgGIA1H5N5F1,IgGIA1H5N5F1S1,IgGIA1H5N5F2,IgGIA1H5N5F3,IgGIA1H6N3F1G1,IgGIA1H6N3F2,IgGIA1H6N5F1,IgGI1H3N3F1,IgGI1H3N4,IgGI1H3N4F1,IgGI1H3N5F1,IgGI1H3N6F3,IgGI1H4N2,IgGI1H4N3,IgGI1H4N3F1,IgGI1H4N3F2,IgGI1H4N4,IgGI1H4N4F1,IgGI1H4N4F1S1,IgGI1H4N4F2,IgGI1H4N5F2S1,IgGI1H5N3F1,IgGI1H5N4,IgGI1H5N4F1,IgGI1H5N4F1S1,IgGI1H5N4F1S2,IgGI1H5N4F2,IgGI1H5N4F2S1,IgGI1H5N4F3,IgGI1H5N5F1,IgGI1H5N5F1S1,IgGI1H5N5F2,IgGI1H5N5F3,IgGI1H6N3F1G1,IgGI1H6N3F2,IgGI1H6N5F1,IgGIILE1H3N3F1,IgGIILE1H3N4,IgGIILE1H3N4F1,IgGIILE1H3N5F1,IgGIILE1H3N6F3,IgGIILE1H4N2,IgGIILE1H4N3,IgGIILE1H4N3F2,IgGIILE1H4N4,IgGIILE1H4N4F1,IgGIILE1H4N4F1S1,IgGIILE1H4N4F2,IgGIILE1H4N5F1,IgGIILE1H4N5F2S1,IgGIILE1H5N3F1,IgGIILE1H5N4,IgGIILE1H5N4F1,IgGIILE1H5N4F1S2,IgGIILE1H5N4F2,IgGIILE1H5N4F2S1,IgGIILE1H5N4F3,IgGIILE1H5N5F1,IgGIILE1H5N5F1S1,IgGIILE1H5N5F2,IgGIILE1H5N5F3,IgGIILE1H6N3F1G1,IgGIILE1H6N3F2,IgGIILE1H6N5F1,IgGIF1H3N3F1,IgGIF1H3N4,IgGIF1H3N4F1,IgGIF1H3N5F1,IgGIF1H3N6F3,IgGIF1H4N2,IgGIF1H4N3,IgGIF1H4N3F1,IgGIF1H4N3F2,IgGIF1H4N4,IgGIF1H4N4F1,IgGIF1H4N4F1S1,IgGIF1H4N4F2,IgGIF1H4N5F1,IgGIF1H4N5F2S1,IgGIF1H5N3F1,IgGIF1H5N4,IgGIF1H5N4F1,IgGIF1H5N4F1S1,IgGIF1H5N4F1S2,IgGIF1H5N4F2,IgGIF1H5N4F2S1,IgGIF1H5N4F3,IgGIF1H5N5F1S1,IgGIF1H5N5F2,IgGIF1H5N5F3,IgGIF1H6N3F1G1,IgGIF1H6N3F2,IgGIF1H6N5F1,IgGI1H4N5F1,IgGI1H4N5F1S1,IgGIILE1H4N3F1,IgGIILE1H4N5F1S1,IgGIILE1H5N4F1S1,IgGIF1H4N5F1S1,IgGIF1H5N5F1,IgGIA1H5N2,IgGIA1H6N2,IgGIA1H6N3F1,IgGIA1H6N3F1S1,IgGI1H5N2,IgGI1H6N2,IgGI1H6N3F1,IgGI1H6N3F1S1,IgGIILE1H5N2,IgGIILE1H6N2,IgGIILE1H6N3F1,IgGIILE1H6N3F1S1,IgGIF1H5N2,IgGIF1H6N3F1,IgGIF1H6N3F1S1,IgGIF1H6N2,type,num
"id_01_2-E,1_01_55390.raw",2,id_01,IgGI,WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9571197.984,652963.6664,17799075,1490358.651,82520.90546,356369.3475,975641.3913,7563029.153,749730.9382,440554.8922,20178317,436388.5405,660458.841,44317.31361,4124295.079,286571.366,5917562.957,900697.8753,286611.9906,454955.4843,202180.6157,727466.8322,265580.2823,76799.18061,46316.81734,55805.88789,47000.40242,437221.5346,13360.30466,412340.2709,122908.2961,487031.8947,42793.57412,33989.98158,160901.489,44672.56889,508553.1104,38735.1597,182801.0741,24202.76482,261044.425,95979.81754,22944.22853,308280.7092,12400.81969,55011.42684,6610.188461,101946.4108,16466.96604,9102.142846,43445.19654,17827.06613,9883.855304,6085.639626,27812.16835,147404.1728,29584.73583,1167128.168,96631.27511,2825254.36,252118.8333,15178.79526,235976.3122,3829264.131,526530.7497,83685.93105,7222098.086,1900453.552,42045.26038,75712.35805,154471.1287,10409.33917,643094.8602,7519591.784,572529.2626,66292.92886,13290.68968,139795.2812,25261.58091,62752.92274,18710.60684,40478.728,26585.00021,92644.5752,260713.8731,18951.37041,1320103.90235,118584.429678,182965.131507,10596.0982406,9068.4613147,65536.357932,34563.8262246,,,,,4614480.91135,894921.313703,2047501.01095,602299.882973,406302.280636,84725.7650724,164608.336138,113299.010944,611244.840027,601436.546422,63043.0979529,223626.438651,Y-WT,1
"id_01_2-E,1_01_55390.raw",3,id_01,IgGI,WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234376.0273,297073.8118,3710727.612,857461.7376,446287.7234,88043.61286,163487.751,452967.819,918999.5782,363681.2573,8142228.069,470230.7119,231113.7652,481581.9853,783026.9014,181599.4513,3562575.347,1289288.824,1014958.404,327183.5761,311502.7531,1050576.002,348131.3831,269944.8721,83626.80202,251942.5313,108521.8963,662178.2913,68975.7166,65848.0246,133106.906,91083.05206,21307.86795,838136.392,87081.70393,33051.15635,1309202.35,18057.83433,275792.8669,17594.91373,232534.1953,237547.0081,248766.1054,85633.33483,40147.96327,1412811.383,151971.596,513270.9031,33076.93695,4778850.992,1052172.464,830336.6609,37969.89937,666259.0276,84286.90266,484665.3785,1336171.497,204157.4385,39703.83961,609519.375,171556.3368,117511.8097,45255.60107,182548.2729,333048.07,251314.8816,1416988.014,641364.6524,970148.5838,112075.4508,150261.608,142679.1026,225435.371,2995666.571,323171.8561,380187.0675,88757.89471,355580.9624,518972.4926,361660.4925,456667.0364,240371.9922,501157.0131,3562433.586,678220.9957,,1407776.71296,217623.182033,162639.401979,91430.8190868,86247.5600571,1377119.77596,131001.772895,0,,,,0,19715.9896135,730575.80395,789274.979063,0,99082.9226276,115555.040871,113520.011403,0,790334.704701,22387.4731071,31663.5935274,Y-WT,1
"id_02_2-B,3_01_55429.raw",2,id_02,IgGI,WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9606016.208,926193.2176,17384583.7,1886433.864,65878.17966,300696.4262,910334.0563,7235046.492,652806.3285,702058.1835,18663088.25,502041.0618,601389.8753,27602.85897,3353253.824,412849.0336,5290064.811,1107305.081,233823.992,375368.9838,165681.8396,915744.7381,275391.6908,64080.48365,48998.93113,58953.52701,46900.3365,351214.63,7789.710486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2183101.96,100658.307,5187055.211,1387572.27,22665.51974,243236.5059,3399223.158,1014896.895,67996.04789,6005015.885,4092325.778,477796.8259,43766.84793,690601.1877,15501.42659,253836.1609,5860560.616,1195941.6,712084.7142,27791.8314,134684.1163,23788.19972,582298.9387,32731.97042,34779.76495,28981.12948,68435.83617,178295.3282,15335.10712,1486262.07054,125643.663633,,,,27283.0887631,117088.65114,,,,,3880068.76269,727962.114664,1658317.36382,477723.666434,,,,,299079.565593,344878.685221,34806.1455217,121221.323438,Y-WT,2
"id_02_2-B,3_01_55429.raw",3,id_02,IgGI,WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182411.7178,340659.7009,3378994.064,930934.9134,383287.0092,188148.6414,98090.35361,544828.8485,833762.0069,398185.8748,7409225.539,881794.9409,106365.128,462014.9914,609535.8538,263663.4889,3088500.323,2030986.525,961847.967,406720.7805,275433.4152,1668751.208,382630.8933,232338.6515,86586.14305,258419.7688,74636.02105,520528.4674,87128.95904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270783.6288,101979.393,966208.1574,553811.7189,173013.503,84331.67592,111206.9958,257501.9181,532035.2834,1092981.638,1357579.199,1680737.66,195726.6137,802749.9547,170127.3571,362023.8453,2650603.027,661905.2363,1751316.724,125760.3709,712785.8097,550656.0799,1429337.279,462824.2484,189507.5946,541663.8225,2020993.09,587466.8845,,1473483.64783,255275.822548,,,,1259606.68281,223525.999424,0,,,,0,18419.4119244,674005.219978,633596.492462,0,,,,0,502831.020206,,29833.5678084,Y-WT,2
"id_03_2-D,4_01_55459.raw",2,id_03,IgGI,WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10402097.34,676391.9669,18519403.09,1516774.773,65231.03828,364832.3486,897451.4364,7745366.066,659185.3461,403647.7732,20927352.97,400097.5024,604174.7202,32538.123,3651102.732,292230.7097,5754034.88,750583.189,228457.556,384987.5957,167356.0765,615711.005,232175.371,52291.51773,57452.58859,39777.20369,76577.97178,398992.8951,11822.3043,399559.9265,148818.6325,655721.8773,29500.47133,35477.35083,191420.0542,64564.19901,487834.992,38382.38667,197963.0581,13200.93602,214509.3423,119791.8277,20345.65648,208462.5326,32440.82792,47946.41245,7581.804868,112406.6346,8083.955798,2647.747374,54476.95506,16078.2222,26686.60426,6534.803851,26870.68093,101721.3914,34162.11735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1468851.94595,130023.539124,156107.430683,7255.6431708,1898.3498211,,,,,,,4246900.75135,779774.347764,1775018.84596,499291.562406,320733.324188,54050.0280123,92705.1486857,97573.4654714,,,,,Y-WT,3
"id_03_2-D,4_01_55459.raw",3,id_03,IgGI,WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169847.5393,517842.2797,3580152.246,781872.8229,534416.038,148493.5336,117902.2207,771807.4869,831062.8917,329120.7028,8003925.139,563190.4343,102726.4648,488820.8629,709512.0882,203587.8613,3294093.652,1059025.556,889275.6658,414314.7359,436136.7927,927264.8852,316637.0695,243320.7036,134219.1608,144076.1131,156291.7254,637749.1185,128308.1039,56090.57653,177283.8417,159658.766,18204.60121,1082804.562,300177.271,33934.97956,1339362.834,83088.76843,375036.207,11876.3075,255568.903,252513.1578,311489.1141,228268.1784,163323.0493,1890080.689,160251.2452,458831.1108,22592.48888,9258123.84,1239306.424,701998.2096,883.0408425,711133.8236,121266.4185,573658.1291,1490925.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1397790.56728,211089.408544,172501.445953,110724.425593,135537.97049,,,0,,,,0,31690.4036578,842763.836781,734945.443745,0,98240.8201721,175282.403175,39423.9740387,0,,,,Y-WT,3
"id_04_2-F,3_01_55441.raw",2,id_04,IgGIA,WT,10878210.71,1072813.161,20697000.55,1054590.267,43586.98007,427638.1085,1513009.179,9098834.3,683470.1978,355818.7687,5521308.044,134351.3943,106181.6493,238826.6072,54558.83691,23716.05123,10065789.04,406253.4639,1540678.67,60878.21918,17948.38057,80571.11423,28160.65242,53458.09834,20801.46851,62896.32674,10249.75874,72565.4809,41530.81437,623689.1223,4517.667056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301438.8419,188216.824,587320.4903,439664.8738,11423.3451,18958.90192,149900.0215,243543.375,86897.4789,140877.5973,406112.5393,25490.88827,65203.23827,62848.28528,8333.747656,94491.84451,115321.1901,120788.1358,25056.06588,16249.4853,50757.58559,18472.65881,16252.7268,753.5458574,21181.00623,19829.98445,12685.29029,51823.63784,13781.40052,,,,,,14077.3159928,26889.8996893,7335524.31529,1640459.04339,4356547.32185,760833.911844,,,,,,,,,324245.121175,237857.28909,26683.8015196,203541.712907,YA-WT ,1
"id_04_2-F,3_01_55441.raw",3,id_04,IgGIA,WT,74092.99394,146239.5305,3104887.715,397732.7545,166786.8593,148045.3762,300803.1925,886551.5095,715037.2643,201546.6843,1565377.485,320299.82,127036.8451,27533.4731,548115.5458,344512.0562,1424200.02,332014.2288,709219.2764,153350.4819,643552.7269,140967.4591,420205.4659,119350.8771,103185.3566,272719.0931,26987.75504,223528.6476,89427.56022,300355.5066,123056.4458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501206.7105,283228.9187,283421.795,412531.0443,15485.32408,24646.05759,222194.0026,,210057.3424,83628.32423,296025.6708,63879.34994,130933.2377,260976.8746,,40058.81006,194584.1467,200055.6249,115416.4203,65055.46949,32411.11973,663385.3622,137063.4161,108073.3714,112436.1877,178510.6869,4226219.876,700396.3994,132213.5586,,,,,,34591.1201856,237649.584707,0,61385.0927991,1381948.97843,878034.920102,0,,,,0,,,,0,318288.85911,56672.1709745,94506.198976,YA-WT ,1
"id_05_2-B,1_01_55381.raw",2,id_05,IgGIA,WT,9960385.134,1120061.531,21698778.61,939610.663,16118.18795,354085.1486,1321332.881,8413892.445,779705.347,403098.6402,5724400.015,353147.852,292697.4699,213950.5409,41098.317,37305.39976,9453887.701,374537.2211,1476514.512,108599.8903,29739.62563,126233.5556,51564.54309,134313.8376,19286.20794,83298.04526,22251.20412,75768.72835,20711.97818,618091.8063,2767.788059,2699911.596,411610.7417,5945253.988,964879.0999,39261.07145,129519.0334,351607.7942,3307445.869,128593.7324,626493.4473,6662737.72,215238.9067,127045.0451,28194.70656,974248.98,314423.5729,2162559.227,611031.9585,65220.88785,134472.5151,34249.17361,511619.8652,184864.8173,49934.04731,45776.98493,44902.40302,21764.75701,94948.34387,13973.87472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1472855.594,128954.2414,4195157.338,1429944.617,22380.7194,88027.1442,873833.0466,660651.2894,64150.5141,2120236.807,3337664.581,398690.3493,59303.06642,655712.572,9308.643329,112332.463,2057122.36,945254.6909,596243.941,24135.20621,112743.3671,17946.55795,485215.9543,31100.69974,28358.61206,27751.53424,32583.28786,113230.9947,21425.02098,522441.523111,34268.4319672,,,,20738.795301,107982.992854,6533537.86129,1513184.56365,4082299.44451,768591.74422,776325.88863,236594.748523,404935.700532,108772.034829,,,,,280334.730456,306117.595565,29397.4221495,181528.37176,YA-WT ,2
"id_05_2-B,1_01_55381.raw",3,id_05,IgGIA,WT,141356.534,236781.0689,3051463.515,249349.8973,62131.10017,207160.1384,424558.6645,577239.5029,1053963.206,133121.7241,1695707.734,711394.349,671432.4985,125251.257,603779.5669,264252.3134,1240537.76,327477.3789,633589.5974,315268.4329,554582.2176,316071.5397,482356.4271,321064.0358,66955.60748,194595.2276,44720.66855,212183.8808,46205.8306,403983.042,103073.5154,86803.21807,124613.1763,1442775.291,715682.367,169743.7514,139731.3546,291981.9657,2524681.852,325697.8417,548271.6341,3589692.379,462743.6576,503549.6352,389200.3582,786159.4199,4204.039238,1445523.487,987401.6327,172790.0432,164890.533,74987.61874,774168.0066,394527.6542,286745.1514,500668.7982,165853.3003,181396.9451,151253.5585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239768.798,47650.86702,871707.3942,808950.483,103364.6076,78772.36841,103507.8547,132893.1756,158513.7202,333524.1016,1224496.976,862015.074,50888.8141,781069.9031,,34573.96476,1163667.001,556356.0443,1083939.868,52222.1923,557007.0962,349028.2911,970524.7784,265720.587,309502.3303,322389.592,3597661.669,339717.5954,24692.98525,848730.645379,720762.374889,,,,526102.61371,280924.817716,0,199467.905262,1278101.29108,749232.585412,0,116684.54605,407114.031187,189435.286941,0,,,,0,373310.987427,78434.6092922,55076.8321882,YA-WT ,2
