Sample,Charge,IgGIA1H3N3F1,IgGIA1H3N4,IgGIA1H3N4F1,IgGIA1H3N5F1,IgGIA1H3N6F3,IgGIA1H4N2,IgGIA1H4N3,IgGIA1H4N3F1,IgGIA1H4N3F2,IgGIA1H4N4,IgGIA1H4N4F1,IgGIA1H4N4F1S1,IgGIA1H4N4F2,IgGIA1H4N5F1,IgGIA1H4N5F1S1,IgGIA1H4N5F2S1,IgGIA1H5N3F1,IgGIA1H5N4,IgGIA1H5N4F1,IgGIA1H5N4F1S1,IgGIA1H5N4F1S2,IgGIA1H5N4F2,IgGIA1H5N4F2S1,IgGIA1H5N4F3,IgGIA1H5N5F1,IgGIA1H5N5F1S1,IgGIA1H5N5F2,IgGIA1H5N5F3,IgGIA1H6N3F1G1,IgGIA1H6N3F2,IgGIA1H6N5F1,IgGII1H3N3F1,IgGII1H3N4,IgGII1H3N4F1,IgGII1H3N5F1,IgGII1H3N6F3,IgGII1H4N2,IgGII1H4N3,IgGII1H4N3F1,IgGII1H4N3F2,IgGII1H4N4,IgGII1H4N4F1,IgGII1H4N4F1S1,IgGII1H4N4F2,IgGII1H4N5F1,IgGII1H4N5F1S1,IgGII1H4N5F2S1,IgGII1H5N3F1,IgGII1H5N4,IgGII1H5N4F1,IgGII1H5N4F1S1,IgGII1H5N4F1S2,IgGII1H5N4F2,IgGII1H5N4F2S1,IgGII1H5N4F3,IgGII1H5N5F1,IgGII1H5N5F1S1,IgGII1H5N5F2,IgGII1H5N5F3,IgGII1H6N3F1G1,IgGII1H6N3F2,IgGII1H6N5F1,IgGI1H3N3F1,IgGI1H3N4,IgGI1H3N4F1,IgGI1H3N5F1,IgGI1H3N6F3,IgGI1H4N2,IgGI1H4N3,IgGI1H4N3F1,IgGI1H4N3F2,IgGI1H4N4,IgGI1H4N4F1,IgGI1H4N4F1S1,IgGI1H4N4F2,IgGI1H4N5F1,IgGI1H4N5F1S1,IgGI1H4N5F2S1,IgGI1H5N3F1,IgGI1H5N4,IgGI1H5N4F1,IgGI1H5N4F1S1,IgGI1H5N4F1S2,IgGI1H5N4F2,IgGI1H5N4F2S1,IgGI1H5N4F3,IgGI1H5N5F1,IgGI1H5N5F1S1,IgGI1H5N5F2,IgGI1H5N5F3,IgGI1H6N3F1G1,IgGI1H6N3F2,IgGI1H6N5F1,IgGIILE1H3N3F1,IgGIILE1H3N4,IgGIILE1H3N4F1,IgGIILE1H3N5F1,IgGIILE1H3N6F3,IgGIILE1H4N2,IgGIILE1H4N3,IgGIILE1H4N3F1,IgGIILE1H4N3F2,IgGIILE1H4N4,IgGIILE1H4N4F1,IgGIILE1H4N4F1S1,IgGIILE1H4N4F2,IgGIILE1H4N5F1,IgGIILE1H4N5F1S1,IgGIILE1H4N5F2S1,IgGIILE1H5N3F1,IgGIILE1H5N4,IgGIILE1H5N4F1,IgGIILE1H5N4F1S1,IgGIILE1H5N4F1S2,IgGIILE1H5N4F2,IgGIILE1H5N4F2S1,IgGIILE1H5N4F3,IgGIILE1H5N5F1,IgGIILE1H5N5F1S1,IgGIILE1H5N5F2,IgGIILE1H5N5F3,IgGIILE1H6N3F1G1,IgGIILE1H6N3F2,IgGIILE1H6N5F1,IgGIF1H3N3F1,IgGIF1H3N4,IgGIF1H3N4F1,IgGIF1H3N5F1,IgGIF1H3N6F3,IgGIF1H4N2,IgGIF1H4N3,IgGIF1H4N3F1,IgGIF1H4N3F2,IgGIF1H4N4,IgGIF1H4N4F1,IgGIF1H4N4F1S1,IgGIF1H4N4F2,IgGIF1H4N5F1,IgGIF1H4N5F1S1,IgGIF1H4N5F2S1,IgGIF1H5N3F1,IgGIF1H5N4,IgGIF1H5N4F1,IgGIF1H5N4F1S1,IgGIF1H5N4F1S2,IgGIF1H5N4F2,IgGIF1H5N4F2S1,IgGIF1H5N4F3,IgGIF1H5N5F1,IgGIF1H5N5F1S1,IgGIF1H5N5F2,IgGIF1H5N5F3,IgGIF1H6N3F1G1,IgGIF1H6N3F2,IgGIF1H6N5F1
"id_05_2-B,1_01_55381.raw",2,9960385.134,1120061.531,21698778.61,939610.663,16118.18795,354085.1486,1321332.881,8413892.445,779705.347,403098.6402,5724400.015,353147.852,292697.4699,213950.5409,41098.317,37305.39976,9453887.701,374537.2211,1476514.512,108599.8903,29739.62563,126233.5556,51564.54309,134313.8376,19286.20794,83298.04526,22251.20412,75768.72835,20711.97818,618091.8063,2767.788059,2571679.59,398403.4007,5803229.304,1156037.457,20463.63036,45820.67916,323679.0346,1068386.806,138862.8508,998631.9521,5227958.421,640129.0765,87965.47249,646342.6157,11026.37188,10936.18151,87254.58846,528904.9221,1639260.873,679629.6864,22268.87503,120525.6349,12828.08207,544702.8925,140347.2636,46095.38598,27291.96625,36280.36701,16562.83963,16144.762,4332.924891,2699911.596,411610.7417,5945253.988,964879.0999,39261.07145,129519.0334,351607.7942,3307445.869,128593.7324,626493.4473,6662737.72,215238.9067,127045.0451,1103912.655,58014.4773,28194.70656,974248.98,314423.5729,2162559.227,611031.9585,65220.88785,134472.5151,34249.17361,511619.8652,184864.8173,49934.04731,45776.98493,44902.40302,21764.75701,94948.34387,13973.87472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1472855.594,128954.2414,4195157.338,1429944.617,22380.7194,88027.1442,873833.0466,660651.2894,64150.5141,2120236.807,3337664.581,398690.3493,59303.06642,655712.572,35785.26742,9308.643329,112332.463,2057122.36,945254.6909,596243.941,24135.20621,112743.3671,17946.55795,485215.9543,116720.5036,31100.69974,28358.61206,27751.53424,32583.28786,113230.9947,21425.02098
"id_05_2-B,1_01_55381.raw",3,141356.534,236781.0689,3051463.515,249349.8973,62131.10017,207160.1384,424558.6645,577239.5029,1053963.206,133121.7241,1695707.734,711394.349,671432.4985,125251.257,603779.5669,264252.3134,1240537.76,327477.3789,633589.5974,315268.4329,554582.2176,316071.5397,482356.4271,321064.0358,66955.60748,194595.2276,44720.66855,212183.8808,46205.8306,403983.042,103073.5154,250167.8369,212911.8428,1351797.76,572574.7124,116968.8797,63806.42246,124181.9445,142122.164,365311.2664,228077.468,1751557.105,1022125.939,61778.1533,708549.3131,48948.88225,152819.5581,154413.3637,238079.2403,1269900.315,1286562.82,443514.9335,132992.5723,265762.1595,1144582.656,169400.0415,76606.74207,209403.0301,15230.0756,,76624.56094,185859.3303,86803.21807,124613.1763,1442775.291,715682.367,169743.7514,139731.3546,291981.9657,2524681.852,325697.8417,548271.6341,3589692.379,462743.6576,503549.6352,1365426.244,862406.4829,389200.3582,786159.4199,4204.039238,1445523.487,987401.6327,172790.0432,164890.533,74987.61874,774168.0066,394527.6542,286745.1514,500668.7982,165853.3003,181396.9451,151253.5585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239768.798,47650.86702,871707.3942,808950.483,103364.6076,78772.36841,103507.8547,132893.1756,158513.7202,333524.1016,1224496.976,862015.074,50888.8141,781069.9031,767951.4127,,34573.96476,1163667.001,556356.0443,1083939.868,52222.1923,557007.0962,349028.2911,970524.7784,364136.1607,265720.587,309502.3303,322389.592,3597661.669,339717.5954,24692.98525
"id_07_2-G,3_01_55444.raw",2,186386.7502,41852.20885,422544.8208,41579.53549,37363.28867,17054.47405,68910.78208,170358.4406,53177.36733,45275.2731,104111.0533,123664.8286,54753.43097,48455.08527,46490.39433,36200.47194,187820.0376,91567.23341,99965.55055,22153.00358,32960.41494,51561.86184,28553.43341,36394.93238,37764.88788,34570.8228,45742.83838,23439.0382,37385.51649,36130.37028,41023.09134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26175.91263,140748.1107,44847.20665,105866.1027,29294.87876,84702.13445,95544.50517,99117.46269,31879.9274,97498.31699,24368.50472,198524.2312,31641.1416,101640.932,42901.61076,7063.216825,46589.56014,59009.52937,56802.0893,29191.25076,152335.9222,52904.30163,25668.72263,48740.92893,51651.48012,49937.15984,25318.73331,32735.7993,40360.69243,34564.59736,33585.05386,11454679.92,789193.6724,24490117.68,2423860.666,54324.43485,318368.3361,1049650.887,6854347.515,826072.129,401705.2175,15816312.8,394830.5826,497284.4202,1281459.743,133290.9669,33032.71418,4858820.959,325480.1409,3629428.536,460363.387,183544.4618,309135.5984,104710.3074,408794.9089,185826.1765,38549.74706,54123.35679,32819.13988,53717.43951,554040.2584,41883.56805
"id_07_2-G,3_01_55444.raw",3,51804.25897,28594.6766,2103283.402,30320.53713,83795.20531,69661.9533,12697.02597,436523.0555,58400.15134,129694.5498,30122.55731,46556.22577,66413.10765,7417.275271,84430.92848,65967.46407,252472.8388,85070.2376,42703.42679,67507.92912,17183.71927,69741.547,138395.8988,49102.06314,106034.7857,99243.26327,55262.07913,45781.42113,50040.77089,103846.3718,139452.4359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84569.28235,89821.44652,21527.64731,297793.0226,594446.1078,309157.2264,4383.115484,478530.8772,34065.65709,266759.5319,42343.35141,210852.2369,642925.0284,681441.3179,117004.3779,173839.3258,,,4697.289052,5134476.221,40370.04421,895510.2808,18377.3968,6433938.859,144167.1516,538208.7626,455369.2835,344666.8276,45077.93405,90179.35333,448995.5278,574305.7232,278939.3655,4369635.635,971101.9412,697051.6702,68182.96546,84426.02806,238981.7055,1223412.639,374856.496,5677879.394,725708.0982,92077.7236,1244689.514,516909.3072,276622.8019,647280.2574,248508.1716,2178637.557,790204.3289,587802.6781,345593.6638,2134521.188,726035.5865,334073.722,202073.4488,169853.6637,136081.2438,3584589.895,831036.3512,93620.95175
"id_12_2-D,2_01_55411.raw",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3967241.008,493208.0873,8506104.932,1671789.809,25600.33876,62629.32691,475849.5782,1876119.262,956802.124,1457289.626,7346407.82,883855.9963,203666.2429,869842.2722,18337.21513,17654.03857,219130.9582,786871.3031,2330604.108,971680.3282,32367.09574,179124.1399,20312.19524,759857.1939,171459.1685,48258.43941,22601.16676,33111.68928,30904.22084,46100.59011,5424.939007,2928297.885,652562.0378,5753952.206,1546440.104,38635.08523,137617.4291,352769.8771,1985559.103,12028.92587,759027.2578,5915054.418,264901.5885,58637.87157,2030666.381,75911.1092,10815.37017,530455.6041,417350.4029,2243307.076,898484.3725,28165.16921,116117.3746,21509.64834,720128.5566,547958.9167,53130.54529,59482.81697,46014.45053,12227.54611,36323.23414,28347.27089,13335966.68,1124206.864,19120671.27,1256631.03,70464.5337,936252.7598,2321992.782,13052053.43,1366510.031,367933.7526,7288856.969,212499.4611,117042.0875,393347.5901,85130.0105,47916.21507,14358410.85,485121.5393,2360008.242,133362.315,40368.8052,97653.36196,50630.37411,113413.0685,37271.46211,56352.16197,15774.37154,23922.36759,64554.79084,1304287.612,28485.01317,2112476.904,39456.07294,5468086.714,1379432.706,61893.80471,485741.4933,1666485.793,553059.4397,1407309.358,2343353.144,4073785.583,678236.2644,96862.10326,766593.6964,27255.14082,53250.67966,34772.14635,1410010.15,1099754.256,694576.453,103529.8574,79061.18428,24534.10807,556464.0742,114859.5369,23560.84876,88623.69096,33382.30032,93485.4003,213253.5969,78897.91438
"id_12_2-D,2_01_55411.raw",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401479.9089,354465.2418,1764230.818,808865.1576,224419.8761,69659.22226,252484.2743,160484.7948,686222.675,271360.2793,2461656.786,1571403.28,31469.43694,1005979.852,48021.25734,206354.7995,221264.2984,328817.5664,1495791.29,2093922.763,305815.6407,251225.1344,293712.3598,1671790.768,311371.8639,159804.9601,110918.848,121911.5051,,,173235.8537,578412.0264,340447.8741,2349239.662,884440.7188,230029.3099,345664.0657,229276.9657,1045646.062,396425.8795,444840.9228,3309764.776,525636.015,28357.99753,2076242.452,345377.8593,162810.7322,1420283.286,557514.0873,1618458.633,1748930.311,279183.4603,380275.2147,86345.47705,1392882.912,780917.6561,208258.3402,15497.92773,116918.0631,52339.19486,528535.2012,307659.7875,225167.2557,127071.3559,3036130.882,364678.074,513576.6873,572044.2774,24019.70173,1263966.13,1100605.469,272289.058,2325302.343,655315.6763,110186.1737,85544.81181,311983.7867,261125.5527,2144294.342,216895.8512,1547883.676,618771.5117,246983.5145,288397.7155,792047.9331,680604.0665,341646.2511,313592.8699,10748.15057,258325.1529,165610.7541,561729.5122,319691.0732,327460.1313,56137.36933,866390.825,1786642.575,287160.8963,184941.8837,1352500.008,76146.91034,518173.859,3040535.892,1244086.323,990525.3566,102819.1087,1533784.686,509444.3201,247806.559,206551.5361,1940989.78,761908.0116,1411369.315,54158.19197,518391.244,304960.258,1168682.234,139879.2002,318133.1364,439641.1329,324313.9651,3022567.956,1046469.291,
"id_15_2-D,1_01_55387.raw",2,68429.73425,69987.27142,188857.8263,45990.37435,11263.75101,27698.32602,27724.37262,26265.33718,293627.4011,30140.38919,132690.5035,154269.6407,50085.63644,20880.74685,6163.669745,16238.85058,90589.81693,79349.16241,20649.6708,81381.72322,8921.488502,102664.6287,43974.62571,69377.56067,29904.68226,17122.06098,5905.323775,9713.202165,15170.7146,11545.17908,9242.301813,699391.5219,143544.9107,1476828.438,256563.8257,10884.93558,33927.668,110024.7126,307101.164,282723.0933,276981.2516,1345607.381,147242.6843,47965.08965,125265.9628,4928.556778,13525.72048,61792.20622,133147.4248,388061.071,159397.9294,9050.431302,32832.92552,9034.994135,131871.2522,22921.64499,14569.50291,9151.26721,7304.945944,18414.30906,5958.579062,14590.77338,9343073.034,632781.0235,18041773.88,1773894.773,71908.20478,359131.3926,944831.9057,7098258.497,365623.7357,481224.5501,19420845.15,525070.5743,662479.7687,2413906.104,207836.8409,28786.05629,4129641.757,360796.2175,5937965.063,1085598.913,345544.2044,477785.9626,214327.3847,886659.4964,362254.2611,85238.18743,47269.45874,69682.58343,64201.31755,393578.6074,22937.18529,5662583.941,522943.8833,8492927.447,475073.3497,25923.63303,440479.7673,872020.8414,5661743.681,1040177.206,160443.2003,3184189.392,80923.94595,239747.6588,151210.9196,34052.79481,5496.922703,6452880.024,224435.1569,958162.8634,32097.03994,15716.89834,97336.81482,11054.24023,37014.61479,56079.89235,15473.1243,18005.64144,16152.67684,24202.04561,537915.7376,46943.89818,407414.4063,34691.03109,1165832.28,215176.0605,16453.37416,220300.0825,3761102.383,83454.10376,547322.0841,7152839.6,820162.5848,180000.3568,57160.07552,133572.7779,45039.26459,15243.27891,100975.661,6722522.344,333011.3151,124500.9394,24434.16014,91210.53789,4019.554154,96461.16976,58809.94222,13090.86467,38604.10528,14489.60066,115494.8861,223555.3204,21639.08163
"id_15_2-D,1_01_55387.raw",3,63539.71342,92101.90379,236016.5102,3923.89387,41960.02304,66069.36814,18099.72864,290222.8624,262237.9538,28748.35158,36260.00072,870379.5992,135220.0272,37351.36777,104586.7658,113884.2293,21280.25161,16221.51611,20805.67711,242748.5926,108051.4632,608419.4074,351942.9643,259730.9956,72332.66112,95324.88395,49032.11142,87106.54744,21341.53841,196741.5465,57422.83819,257324.2881,175430.9839,589219.971,152641.8879,89789.45731,73882.20697,139469.142,93260.91026,234215.2244,18509.81277,435371.4824,286751.077,107318.6659,275368.7525,3602.059809,119424.3902,101094.0607,79050.10536,394299.4525,299577.1203,102960.2314,45665.70082,314897.9363,251297.8543,67481.62713,34419.72668,299144.2124,36851.35018,,1952.846385,119767.712,385936.2364,344016.0432,4300062.189,1113848.962,353207.6358,122963.8036,196811.1227,868314.6229,595622.4623,450574.5702,8012425.84,648814.8946,295511.7427,2234700.8,459600.6681,408532.5197,1207622.188,260983.6013,3532278.991,1475452.129,1133232.975,411046.7657,384016.7521,1178785.476,437826.2521,287450.5561,32197.06472,240626.6295,123542.3909,483230.7154,152057.5311,107645.2657,106671.2723,1432005.962,102717.4532,537975.2069,196958.2089,,668692.951,1511709.214,143308.5836,1195022.685,358669.9847,61948.57552,109160.2301,189496.5078,231766.0242,929051.5337,174378.0718,1642572.485,284564.1348,129513.9193,261189.1221,473681.8071,410880.7151,899412.6409,829953.7781,75400.72074,639433.6224,209825.294,519743.3002,1074822.94,202705.9891,13048.32304,289736.915,562936.64,107353.4589,76370.10219,456391.2934,354917.2491,359931.4655,2468543.65,272605.9358,934716.8505,98237.88014,494106.9625,1330800.616,139637.0104,200882.7193,3120786.117,196452.6834,373503.2901,26138.77351,282567.538,280255.1619,414851.1509,70562.12863,391121.7275,347383.8699,441735.2404,3226834.046,669804.4371,
"id_16_2-C,2_01_55408.raw",2,9084018.376,935290.0579,19370010,958753.2543,22932.60733,338265.3618,1130927.617,7204323.815,575992.6754,329596.0834,5228640.308,116071.684,97964.33833,206501.2083,53545.49829,30999.55643,8154691.204,322727.2516,1321711.49,54319.56401,16406.77871,69469.26304,20545.09816,51062.74652,18822.93547,76394.65312,18585.16767,59858.10501,36359.42508,469302.4687,12458.84616,267849.7639,111466.7406,418527.2482,119692.8326,8524.270219,24371.45978,97088.7833,72425.90613,114389.888,143142.174,319172.0097,41564.93951,28608.11218,44046.78504,10567.19141,8602.338389,31672.31063,81717.81565,90473.36714,21932.21776,8314.072282,15943.06231,10626.09345,13672.9172,15694.55319,11584.8963,10781.69143,7760.606901,12366.45654,18888.1269,14253.93483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896398.7168,129803.3114,1841146.135,86487.64402,6773.985548,277805.48,188629.3212,3700937.589,94635.44877,157525.3992,692946.3498,45315.21929,41890.9374,121007.6523,18279.21782,10225.49275,1432154.873,95980.43099,156749.4922,22346.67146,12577.29762,23002.33865,9713.12335,11582.8296,37205.37883,8112.476358,15558.20644,9192.643828,23139.90374,69583.48984,12604.38478,156542.7616,90443.57907,287185.4566,329814.5629,9700.978568,34179.30362,228487.3619,99047.42755,99193.64822,287461.7007,210061.5904,36090.14429,64425.17001,48356.53883,3053.861868,11095.73731,29371.81261,168788.4713,54288.01107,32494.84581,7310.191263,45410.10621,11099.80149,37742.75595,12829.83905,10889.51454,18271.68026,10443.03773,8692.14721,12661.30713,16007.11297
"id_16_2-C,2_01_55408.raw",3,114006.3525,164532.0706,2901603.973,317424.2428,59860.4149,140207.1837,266345.3496,604390.3576,877020.0118,162670.7754,1607030.374,297408.4107,57462.27439,84439.37435,537944.1104,223140.0567,1149182.333,333623.8227,553550.5194,123921.6808,384561.9394,86233.27576,302053.5157,156991.6127,37936.58498,127872.0297,26927.19066,144859.5318,66665.47456,313193.5275,110213.4689,735834.6622,147746.8361,466603.9974,94055.6526,76846.01132,94448.62264,303070.2599,43589.70374,180375.0052,116823.262,201396.0087,218655.3867,18670.22903,76076.27164,6643.249836,96672.70629,29787.39984,22199.75468,417255.8323,97189.42964,619927.2044,95052.20831,246334.9695,60024.9534,23328.45329,9571.020279,163363.1925,9571.020279,27161.29324,42282.65534,74017.49692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79925.35274,51338.16006,494476.5795,13349.39094,160697.8808,48707.57105,67529.43001,651102.8488,70028.72669,177380.9374,359396.5144,88255.56112,93964.04132,121839.1626,109965.4022,138195.1979,346295.5088,90197.25464,97219.87683,388334.1467,42638.37366,370261.3352,106219.9466,500612.9805,135779.0465,56729.71171,19988.16318,71551.48541,107461.4721,49998.03614,49753.74921,354351.0977,161628.7343,175414.2789,500501.7297,62468.6324,26233.84944,145987.9033,2496.368806,100290.8795,370732.2953,132767.6499,53492.33294,105687.2116,278574.7565,117863.227,44425.52396,16444.08879,203308.9965,119590.285,119995.7719,120038.7502,49491.50918,246975.135,125817.7461,340707.0581,164095.1199,124360.1834,152262.9916,2017447.303,458857.3654,81419.95437
