"Abs Int (Bck Sub, 2+)"	Charge	IgGIA1H3N3F1	IgGIA1H3N4	IgGIA1H3N4F1	IgGIA1H3N5F1	IgGIA1H3N6F3	IgGIA1H4N2	IgGIA1H4N3	IgGIA1H4N3F1	IgGIA1H4N3F2	IgGIA1H4N4	IgGIA1H4N4F1	IgGIA1H4N4F1S1	IgGIA1H4N4F2	IgGIA1H4N5F1	IgGIA1H4N5F1S1	IgGIA1H4N5F2S1	IgGIA1H5N3F1	IgGIA1H5N4	IgGIA1H5N4F1	IgGIA1H5N4F1S1	IgGIA1H5N4F1S2	IgGIA1H5N4F2	IgGIA1H5N4F2S1	IgGIA1H5N4F3	IgGIA1H5N5F1	IgGIA1H5N5F1S1	IgGIA1H5N5F2	IgGIA1H5N5F3	IgGIA1H6N3F1G1	IgGIA1H6N3F2	IgGIA1H6N5F1	IgGII1H3N3F1	IgGII1H3N4	IgGII1H3N4F1	IgGII1H3N5F1	IgGII1H3N6F3	IgGII1H4N2	IgGII1H4N3	IgGII1H4N3F1	IgGII1H4N3F2	IgGII1H4N4	IgGII1H4N4F1	IgGII1H4N4F1S1	IgGII1H4N4F2	IgGII1H4N5F1	IgGII1H4N5F1S1	IgGII1H4N5F2S1	IgGII1H5N3F1	IgGII1H5N4	IgGII1H5N4F1	IgGII1H5N4F1S1	IgGII1H5N4F1S2	IgGII1H5N4F2	IgGII1H5N4F2S1	IgGII1H5N4F3	IgGII1H5N5F1	IgGII1H5N5F1S1	IgGII1H5N5F2	IgGII1H5N5F3	IgGII1H6N3F1G1	IgGII1H6N3F2	IgGII1H6N5F1	IgGI1H3N3F1	IgGI1H3N4	IgGI1H3N4F1	IgGI1H3N5F1	IgGI1H3N6F3	IgGI1H4N2	IgGI1H4N3	IgGI1H4N3F1	IgGI1H4N3F2	IgGI1H4N4	IgGI1H4N4F1	IgGI1H4N4F1S1	IgGI1H4N4F2	IgGI1H4N5F1	IgGI1H4N5F1S1	IgGI1H4N5F2S1	IgGI1H5N3F1	IgGI1H5N4	IgGI1H5N4F1	IgGI1H5N4F1S1	IgGI1H5N4F1S2	IgGI1H5N4F2	IgGI1H5N4F2S1	IgGI1H5N4F3	IgGI1H5N5F1	IgGI1H5N5F1S1	IgGI1H5N5F2	IgGI1H5N5F3	IgGI1H6N3F1G1	IgGI1H6N3F2	IgGI1H6N5F1	IgGIILE1H3N3F1	IgGIILE1H3N4	IgGIILE1H3N4F1	IgGIILE1H3N5F1	IgGIILE1H3N6F3	IgGIILE1H4N2	IgGIILE1H4N3	IgGIILE1H4N3F1	IgGIILE1H4N3F2	IgGIILE1H4N4	IgGIILE1H4N4F1	IgGIILE1H4N4F1S1	IgGIILE1H4N4F2	IgGIILE1H4N5F1	IgGIILE1H4N5F1S1	IgGIILE1H4N5F2S1	IgGIILE1H5N3F1	IgGIILE1H5N4	IgGIILE1H5N4F1	IgGIILE1H5N4F1S1	IgGIILE1H5N4F1S2	IgGIILE1H5N4F2	IgGIILE1H5N4F2S1	IgGIILE1H5N4F3	IgGIILE1H5N5F1	IgGIILE1H5N5F1S1	IgGIILE1H5N5F2	IgGIILE1H5N5F3	IgGIILE1H6N3F1G1	IgGIILE1H6N3F2	IgGIILE1H6N5F1	IgGIF1H3N3F1	IgGIF1H3N4	IgGIF1H3N4F1	IgGIF1H3N5F1	IgGIF1H3N6F3	IgGIF1H4N2	IgGIF1H4N3	IgGIF1H4N3F1	IgGIF1H4N3F2	IgGIF1H4N4	IgGIF1H4N4F1	IgGIF1H4N4F1S1	IgGIF1H4N4F2	IgGIF1H4N5F1	IgGIF1H4N5F1S1	IgGIF1H4N5F2S1	IgGIF1H5N3F1	IgGIF1H5N4	IgGIF1H5N4F1	IgGIF1H5N4F1S1	IgGIF1H5N4F1S2	IgGIF1H5N4F2	IgGIF1H5N4F2S1	IgGIF1H5N4F3	IgGIF1H5N5F1	IgGIF1H5N5F1S1	IgGIF1H5N5F2	IgGIF1H5N5F3	IgGIF1H6N3F1G1	IgGIF1H6N3F2	IgGIF1H6N5F1
Fraction		0.995176567	0.994734242	0.99328932	0.990935233	0.992827971	0.99656468	0.995067423	0.993688577	0.992059478	0.993155752	0.991434563	0.99495921	0.995916608	0.99557362	0.993374815	0.993689988	0.991912085	0.991280234	0.995850421	0.993759587	0.992825988	0.994774699	0.994017257	0.993628327	0.99436508	0.993587805	0.993150617	0.993497612	0.994046642	0.995087754	0.993062917	0.994441679	0.993948451	0.992345224	0.995977383	0.993786605	0.995999691	0.994321229	0.992788835	0.990990473	0.992199127	0.990303121	0.994147998	0.995224708	0.994837378	0.994196419	0.992923203	0.990829985	0.990135406	0.995152948	0.994505429	0.991981494	0.993939935	0.993282103	0.994424902	0.993480833	0.992812375	0.994014109	0.992712644	0.993105912	0.994294876	0.993914564	0.994199493	0.993693366	0.992051685	0.995848006	0.993581099	0.995802072	0.99407647	0.992506344	0.990668132	0.991902898	0.996114529	0.99398361	0.995080281	0.9946857	0.994000349	0.992700614	0.990504914	0.996051023	0.995006706	0.994316467	0.991741272	0.993772085	0.993067136	0.994233868	0.993305156	0.992587917	0.993814118	0.992485909	0.992929948	0.994132775	0.99371277	0.994756341	0.994285494	0.992752116	0.99026538	0.994086676	0.996239877	0.994640905	0.993176197	0.991452706	0.9926116	0.990793007	0.994524363	0.995545564	0.99517893	0.992827971	0.993255937	0.991298063	0.990631273	0.995476136	0.993237442	0.992348693	0.994327386	0.993600874	0.99309629	0.993891385	0.993148957	0.994304682	0.993053437	0.993544622	0.994662493	0.994208743	0.994321229	0.99382156	0.992199127	0.99591313	0.993684309	0.995901488	0.994199493	0.992648255	0.990829985	0.992051685	0.990135406	0.994066278	0.995152948	0.994762	0.994098832	0.992812375	0.990668132	0.996114529	0.995080281	0.994411389	0.99186186	0.993856488	0.99317508	0.994329828	0.993393479	0.992700614	0.993914564	0.992599746	0.99301837	0.994214297	0.993814118
Monoisotopic Mass		[1169.97377477]	[1198.48450663]	[1271.51346103]	[1373.05314729]	[1620.65074235]	[1076.43154582]	[1177.97123208]	[1251.00018648]	[1324.02914088]	[1279.51091834]	[1352.53987274]	[1498.087581]	[1425.56882714]	[1454.079559]	[1599.62726726]	[1672.65622165]	[1332.02659819]	[1360.53733005]	[1433.56628445]	[1579.1139927]	[1724.66170096]	[1506.59523885]	[1652.1429471]	[1579.62419325]	[1535.10597071]	[1680.65367896]	[1608.13492511]	[1681.16387951]	[1566.59817546]	[1486.0819643]	[1616.13238242]	[1199.99197554]	[1228.5027074]	[1301.5316618]	[1403.07134806]	[1650.66894312]	[1106.44974659]	[1207.98943285]	[1281.01838725]	[1354.04734165]	[1309.52911911]	[1382.55807351]	[1528.10578176]	[1455.58702791]	[1484.09775977]	[1629.64546802]	[1702.67442242]	[1362.04479896]	[1390.55553082]	[1463.58448522]	[1609.13219347]	[1754.67990172]	[1536.61343962]	[1682.16114787]	[1609.64239401]	[1565.12417148]	[1710.67187973]	[1638.15312587]	[1711.18208027]	[1596.61637623]	[1516.10016506]	[1646.15058318]	[1215.98689016]	[1244.49762202]	[1317.52657642]	[1419.06626268]	[1666.66385774]	[1122.44466121]	[1223.98434747]	[1297.01330187]	[1370.04225627]	[1325.52403373]	[1398.55298813]	[1544.10069638]	[1471.58194253]	[1500.09267439]	[1645.64038264]	[1718.66933704]	[1378.03971358]	[1406.55044544]	[1479.57939984]	[1625.12710809]	[1770.67481634]	[1552.60835423]	[1698.15606249]	[1625.63730863]	[1581.1190861]	[1726.66679435]	[1654.14804049]	[1727.17699489]	[1612.61129085]	[1532.09507968]	[1662.1454978]	[1190.99727977]	[1219.50801163]	[1292.53696603]	[1394.07665229]	[1641.67424735]	[1097.45505082]	[1198.99473708]	[1272.02369148]	[1345.05264588]	[1300.53442334]	[1373.56337774]	[1519.111086]	[1446.59233214]	[1475.103064]	[1620.65077226]	[1693.67972665]	[1353.05010319]	[1381.56083505]	[1454.58978945]	[1600.1374977]	[1745.68520596]	[1527.61874385]	[1673.1664521]	[1600.64769825]	[1556.12947571]	[1701.67718396]	[1629.15843011]	[1702.18738451]	[1587.62168046]	[1507.1054693]	[1637.15588742]	[1207.98943285]	[1236.50016471]	[1309.52911911]	[1411.06880537]	[1658.66640043]	[1114.4472039]	[1215.98689016]	[1289.01584456]	[1362.04479896]	[1317.52657642]	[1390.55553082]	[1536.10323907]	[1463.58448522]	[1492.09521708]	[1637.64292533]	[1710.67187973]	[1370.04225627]	[1398.55298813]	[1471.58194253]	[1617.12965078]	[1762.67735903]	[1544.61089692]	[1690.15860518]	[1617.63985132]	[1573.12162879]	[1718.66933704]	[1646.15058318]	[1719.17953758]	[1604.61383354]	[1524.09762237]	[1654.14804049]
"alignedLin_id_01_2-E,1_01_55390.raw"																																	133255.47	120732.7877	111967.6217	44180.68968	6688.956609	29831.39632	222464.0631	42012.83254	31932.7218	468534.4173	194730.4032	45838.91841	18121.38152	13591.42	11437.26194	11338.47565	45685.17073	213527.7182	69443.99398	29267.29674	8714.79008	28252.96752	12120.89975	23831.30827	4962.695991	19845.11792	46123.0718	20486.60108	24590.28236	8352.96807	21593.65641	9571197.984	652963.6664	17799075	1490358.651	82520.90546	356369.3475	975641.3913	7563029.153	749730.9382	440554.8922	20178317	436388.5405	660458.841	2290190.463	182742.4525	44317.31361	4124295.079	286571.366	5917562.957	900697.8753	286611.9906	454955.4843	202180.6157	727466.8322	265580.2823	76799.18061	46316.81734	55805.88789	47000.40242	437221.5346	13360.30466	412340.2709	122908.2961	487031.8947	42793.57412	33989.98158	160901.489	44672.56889	289646.4607	508553.1104	38735.1597	182801.0741	24202.76482	261044.425	95979.81754	2538.294291	22944.22853	308280.7092	12400.81969	55011.42684	15010.74473	6610.188461	101946.4108	16466.96604	9102.142846	43445.19654	17827.06613	9883.855304	6085.639626	27812.16835	147404.1728	29584.73583	1167128.168	96631.27511	2825254.36	252118.8333	15178.79526	235976.3122	3829264.131	526530.7497	83685.93105	7222098.086	1900453.552	42045.26038	75712.35805	154471.1287	72896.38371	10409.33917	643094.8602	7519591.784	572529.2626	66292.92886	13290.68968	139795.2812	25261.58091	62752.92274	60732.18729	18710.60684	40478.728	26585.00021	92644.5752	260713.8731	18951.37041
"alignedLin_id_02_2-B,3_01_55429.raw"																																	4148148.353	426540.6767	8413775.326	1560865.691	36240.20973	65451.647	484230.1506	1813883.4	155437.5827	1302681.58	7529916.566	931451.788	82623.03057	822107.7445	13153.87434	9613.482507	101147.4738	725872.8509	2366347.667	953722.0119	20466.85897	137690.129	17161.04381	770164.6341	158521.2484	46574.67987	34358.15687	31630.58833	11733.36546	35809.51129	12692.91969	9606016.208	926193.2176	17384583.7	1886433.864	65878.17966	300696.4262	910334.0563	7235046.492	652806.3285	702058.1835	18663088.25	502041.0618	601389.8753	2236208.409	170756.6213	27602.85897	3353253.824	412849.0336	5290064.811	1107305.081	233823.992	375368.9838	165681.8396	915744.7381	275391.6908	64080.48365	48998.93113	58953.52701	46900.3365	351214.63	7789.710486																																2183101.96	100658.307	5187055.211	1387572.27	22665.51974	243236.5059	3399223.158	1014896.895	67996.04789	6005015.885	4092325.778	477796.8259	43766.84793	690601.1877	40201.30536	15501.42659	253836.1609	5860560.616	1195941.6	712084.7142	27791.8314	134684.1163	23788.19972	582298.9387	133977.7119	32731.97042	34779.76495	28981.12948	68435.83617	178295.3282	15335.10712
"alignedLin_id_03_2-D,4_01_55459.raw"																																	219596.4041	94371.36281	10261.56848	65624.92485	9986.234031	26122.51441	145070.4389	25039.62274	15335.6414	35140.62574	86192.33247	41236.23466	13674.85693	23751.13931	25655.381	12948.74326	26956.83517	38465.81385	12359.89494	34017.43891	15030.05453	22683.26589	13398.13185	22933.50542	15471.34757	14643.49375	51713.05593	11417.62671	15319.93098	43344.99403	10476.59216	10402097.34	676391.9669	18519403.09	1516774.773	65231.03828	364832.3486	897451.4364	7745366.066	659185.3461	403647.7732	20927352.97	400097.5024	604174.7202	2153210.908	171539.315	32538.123	3651102.732	292230.7097	5754034.88	750583.189	228457.556	384987.5957	167356.0765	615711.005	232175.371	52291.51773	57452.58859	39777.20369	76577.97178	398992.8951	11822.3043	399559.9265	148818.6325	655721.8773	29500.47133	35477.35083	191420.0542	64564.19901	256818.831	487834.992	38382.38667	197963.0581	13200.93602	214509.3423	119791.8277	3010.862257	20345.65648	208462.5326	32440.82792	47946.41245	18535.17617	7581.804868	112406.6346	8083.955798	2647.747374	54476.95506	16078.2222	26686.60426	6534.803851	26870.68093	101721.3914	34162.11735																															
"alignedLin_id_04_2-F,3_01_55441.raw"		10878210.71	1072813.161	20697000.55	1054590.267	43586.98007	427638.1085	1513009.179	9098834.3	683470.1978	355818.7687	5521308.044	134351.3943	106181.6493	238826.6072	54558.83691	23716.05123	10065789.04	406253.4639	1540678.67	60878.21918	17948.38057	80571.11423	28160.65242	53458.09834	20801.46851	62896.32674	10249.75874	72565.4809	41530.81437	623689.1223	4517.667056																																																																																														301438.8419	188216.824	587320.4903	439664.8738	11423.3451	18958.90192	149900.0215	243543.375	86897.4789	140877.5973	406112.5393	25490.88827	65203.23827	62848.28528	12603.96802	8333.747656	94491.84451	115321.1901	120788.1358	25056.06588	16249.4853	50757.58559	18472.65881	16252.7268	22616.62721	753.5458574	21181.00623	19829.98445	12685.29029	51823.63784	13781.40052
"alignedLin_id_06_2-H,3_01_55447.raw"		9735851.493	993043.0045	18617255.57	969772.779	41868.69662	363983.1227	1334537.909	8040341.081	589560.2486	358864.7709	4915426.702	126536.3022	106844.0485	223723.5976	62671.64319	20382.9378	9051906.203	378521.3468	1388341.74	54229.77568	13651.2071	75089.66113	23521.65374	44547.40849	31353.83705	63996.27632	14908.1644	52141.7598	45223.10015	552007.3241	9096.520942																																																																																														332418.6556	148124.6023	644357.2884	393686.4342	14152.72736	44159.84564	165994.8659	280719.8233	91866.69275	123650.7348	481957.872	22569.92275	77509.98677	37534.71922	18949.08596	15627.3043	116919.6342	106995.6331	123525.3037	27562.51114	11430.67724	76326.65097	21592.61094	26017.23216	33719.3896	12279.62426	11467.5085	11267.79788	32234.46146	38344.35087	14630.23603
"alignedLin_id_08_2-A,2_01_55402.raw"																																	285497.6729	106770.8246	579347.0998	103289.4346	12639.86168	145465.3812	2617630.598	123231.1734	35004.35362	5830122.798	551021.5148	57644.83152	24716.82151	45009.92427	17120.18592	13994.08618	236838.546	3097391.248	226998.7394	58668.78907	7976.147531	60663.08012	12464.20808	55425.54066	18183.11995	17949.23454	25638.93586	24146.23114	71705.89866	95413.39068	4428.095715	919581.6226	69142.29453	1739442.222	168663.7484	18236.87038	56054.35088	83667.64498	660125.235	76883.9349	67602.55388	1939356.346	59866.85251	88681.34736	210091.587	16882.2931	19874.50408	395192.2648	73299.29117	529283.5308	82953.00559	21368.78897	49124.42738	16738.95389	69929.424	44065.16638	19869.86695	12706.85909	19030.2057	31457.69565	45164.07956	3861.220497																																10498144.5	708704.5178	23564365.79	2304886.485	48572.21787	295452.6173	1206158.309	6387051.822	841624.9659	679773.5818	14795621.71	412148.861	475780.227	1273256.518	148699.9192	25954.11036	4702704.746	618303.484	3556195.102	503500.62	196616.6295	301087.0249	93518.79639	423643.3755	179750.9529	44980.65111	53676.92146	39127.20005	66575.73914	583987.6561	32007.6087
"alignedLin_id_09_2-A,3_01_55426.raw"																																	14339.35867	289785.0113	33240.06723	193573.7984	14299.34193	27977.6391	10618.29979	8414.934072	46855.45804	24373.97168	64626.78009	194853.2297	25158.83134	35358.88664	6195.634771	24113.70526	3663.778772	23219.89244	75211.47046	19051.37409	6092.553814	37042.92681	10953.61068	14316.88466	22652.34362	20792.28918	11563.22696	12125.49116	24724.0283	10400.55709	41728.92141	3337698.312	147347.9228	5824566.422	490285.3452	21491.82353	122018.389	244670.9354	2582445.571	227658.0202	132784.7053	6752052.438	169884.215	295748.5834	631102.8973	51543.11189	18817.80502	1367583.844	128410.0576	1878789.885	227500.5202	67179.75612	130690.0404	39157.80446	190225.4739	74616.29967	32150.9451	14886.2033	24937.81468	44560.19512	117253.2066	16006.02057																																11311869.86	743559.5731	24919841.12	2366033.913	45140.77505	305524.8379	1643314.543	6508932.28	885552.8175	1511922.451	15793504.46	397180.8853	461652.8144	1224825.479	143610.3417	29007.00633	4629510.587	1460682.547	3589004.715	452913.3813	166215.6917	280129.0839	83139.62172	362907.9078	156367.1478	37790.57356	59249.76845	37849.50771	75372.47456	535798.5779	33397.13672
"alignedLin_id_10_2-G,1_01_55396.raw"																																	301646.1934	91156.63089	11733.89826	16807.10411	24129.10881	23138.21564	245658.6309	88149.22174	668060.8869	16540.71116	44237.2116	24993.44153	36272.91478	16333.97958	35360.57021	17233.1324	143236.3909	95161.74034	24453.39052	50966.54772	19015.57621	13538.175	29901.48784	38850.90346	18963.12896	23321.36271	26325.27763	20457.53137	5295.246005	15368.93535	7809.058922	1551411.557	128590.6641	2418315.712	681080.9252	11196.09074	182141.3879	199176.0169	1090081.97	33298.09643	174420.2029	2400127.265	36561.59527	46424.85215	1263268.094	103445.1597	24121.254	886077.7221	199176.6916	699600.3823	73170.15552	11693.27874	91452.51436	24516.15722	66658.29941	479017.3995	52576.40734	78457.62207	33058.70748	28506.91578	25747.48632	45746.32078	17957821.26	1597193.969	24540093.03	1622255.577	60342.64845	1144469.544	3402173.508	18111562.86	1678286.039	520051.3485	9506412.365	272437.7333	190999.1222	486637.8554	92324.13787	71730.20348	20193885.45	671731.8783	3243740.737	186777.5323	53512.80364	114560.3404	87217.019	157769.6404	36786.49272	85664.32281	23617.02073	34182.03362	66881.58265	1878940.501	26713.85326	1242887.831	42258.16622	2949066.892	78489.91645	46563.06964	551496.1158	1665802.338	295888.8828	2017045.644	1608109.478	1584467.598	322568.9414	124231.3796	78204.87798	43574.75475	66610.09479	268864.4347	810157.7686	294369.4651	31524.73558	128549.6709	36112.355	24844.41566	37901.59534	36242.39499	16906.74884	120266.5891	13695.28638	117721.4245	278552.577	82077.35185
