Abs Int (Bck Sub, 2+)	charge	IgGI1H4N5F1	IgGI1H4N5F1S1	IgGIILE1H4N3F1	IgGIILE1H4N5F1S1	IgGIILE1H5N4F1S1	IgGIF1H4N5F1S1	IgGIF1H5N5F1
id_01_2-E,1_01_55390.raw	2	1320103.90235	118584.429678	182965.131507	10596.0982406	9068.4613147	65536.357932	34563.8262246
id_02_2-B,3_01_55429.raw	2	1486262.07054	125643.663633				27283.0887631	117088.65114
id_03_2-D,4_01_55459.raw	2	1468851.94595	130023.539124	156107.430683	7255.6431708	1898.3498211		
id_04_2-F,3_01_55441.raw	2						14077.3159928	26889.8996893
id_06_2-H,3_01_55447.raw	2						9849.4359122	24134.9161157
id_08_2-A,2_01_55402.raw	2	159393.519598	14149.2721844				104919.832459	173557.32047
id_09_2-A,3_01_55426.raw	2	476934.133261	31889.7907877	144454.11512	3959.39803195	9174.3714266	96675.5652362	154323.674567
id_10_2-G,1_01_55396.raw	2	127331.535901	15153.6758904	8336622.70923	59331.68062	190500.629371	38442.7783472	28303.7213479
id_11_2-C,1_01_55384.raw	2			4582133.29484	62056.5289821	193222.854007	39946.7871948	17270.8462298
id_13_2-G,2_01_55420.raw	2	1199806.48035	112846.615815				42002.2684112	31139.0531637
id_14_2-A,4_01_55450.raw	2	1021333.89279	107103.242528					
id_17_2-C,3_01_55432.raw	2			2696540.68392	9813.829072	28894.4955659		
id_19_2-H,1_01_55399.raw	2			923995.921811	12432.0447591	10206.1777469	59924.6424222	135428.410448
id_20_2-E,3_01_55438.raw	2						97838.9123195	151430.280813
id_22_2-H,2_01_55423.raw	2			2046035.5286	38757.5150124	87775.9891801	15185.3024331	
id_23_2-F,1_01_55393.raw	2			3627743.03222	45145.5354606	131482.421658	28951.1679225	46677.7088688
id_24_2-C,4_01_55456.raw	2			4835202.20867	46871.3945066	112351.50616	19078.701834	7111.3995435
stand_01_2-B,4_01_55453.raw	2	2286458.60582	63898.9330243				44262.9027375	320283.478779
stand_03_2-D,3_01_55435.raw	2	2183684.84943	70002.091642	57795.7983708	5130.5300354	13054.027319	51868.4002757	305838.604988
id_05_2-B,1_01_55381.raw	2	522441.523111	34268.4319672				20738.795301	107982.992854
id_07_2-G,3_01_55444.raw	2						92738.3258922	160664.621246
id_12_2-D,2_01_55411.raw	2	738057.026834	25095.9508361	4277646.0566	44998.9682387	116900.88265	16431.3323349	114832.202243
id_15_2-D,1_01_55387.raw	2	1394650.87711	148796.737566	2523534.24873	14012.7455377	22652.5796504	42717.4166392	36768.427514
id_16_2-C,2_01_55408.raw	2			1796877.81986	12378.5616853	15433.8876555	10254.8509174	10681.9076871
id_18_2-A,1_01_55378.raw	2						33447.7089155	76344.9104406
id_21_2-F,2_01_55417.raw	2						67235.1520574	140133.885764
stand_02_2-B,2_01_55405.raw	2	1825531.09981	84677.836006	110452.538444	3562.3059102	8796.7331093	48004.3996477	288897.593202
id_01_2-E,1_01_55390.raw	3	1407776.71296	217623.182033	162639.401979	91430.8190868	86247.5600571	1377119.77596	131001.772895
id_02_2-B,3_01_55429.raw	3	1473483.64783	255275.822548				1259606.68281	223525.999424
id_03_2-D,4_01_55459.raw	3	1397790.56728	211089.408544	172501.445953	110724.425593	135537.97049		
id_04_2-F,3_01_55441.raw	3						34591.1201856	237649.584707
id_06_2-H,3_01_55447.raw	3						16969.3485867	210909.595179
id_08_2-A,2_01_55402.raw	3	198429.663836	26487.2916393				280385.116453	314196.016182
id_09_2-A,3_01_55426.raw	3	567375.216942	75275.8357935	125334.396684	32572.2269321	95022.9757488	528855.55076	287775.471906
id_10_2-G,1_01_55396.raw	3	159538.481129	24262.8554547	735387.261226	82722.4358062	377258.587726	52397.2154202	48687.4337149
id_11_2-C,1_01_55384.raw	3			494023.980382	57902.2848967	315265.511168	27065.206229	27438.9982952
id_13_2-G,2_01_55420.raw	3	1199448.54388	212560.126025				1184137.12419	69980.468185
id_14_2-A,4_01_55450.raw	3	995485.142175	229291.675321					
id_17_2-C,3_01_55432.raw	3			388477.311061	38654.676001	193350.384065		
id_19_2-H,1_01_55399.raw	3			253929.258146	40937.9770068	92749.1963494	148005.153389	283186.6591
id_20_2-E,3_01_55438.raw	3						235055.739458	237934.799831
id_22_2-H,2_01_55423.raw	3			292530.336007	56478.0826224	233925.68066	6340.5163531	
id_23_2-F,1_01_55393.raw	3			426637.434939	44762.1621542	263964.520839	69484.2488767	52507.2859608
id_24_2-C,4_01_55456.raw	3			426375.500079	56567.0431813	269135.861108	7568.2918222	65790.3886531
stand_01_2-B,4_01_55453.raw	3	2231000.28754	276035.928865				908105.335955	446735.552792
stand_03_2-D,3_01_55435.raw	3	2293178.18691	290802.891013	88368.4346214	25233.1069335	59548.2527858	1026551.04388	431196.610565
id_05_2-B,1_01_55381.raw	3	848730.645379	720762.374889				526102.61371	280924.817716
id_07_2-G,3_01_55444.raw	3						247721.290803	291163.628905
id_12_2-D,2_01_55411.raw	3	873896.577708	81932.5637742	455610.449013	43285.7671247	238415.379762	330395.197396	145614.366828
id_15_2-D,1_01_55387.raw	3	1349460.17089	251952.345018	241973.463625	79756.6808901	113150.258771	1091320.65892	88163.5055303
id_16_2-C,2_01_55408.raw	3			256347.198665	46786.4624465	92718.7812738	23383.1517844	165832.421682
id_18_2-A,1_01_55378.raw	3						89981.9756303	263586.517709
id_21_2-F,2_01_55417.raw	3						172812.285328	259817.339704
