Sample	Charge	IgGIA1H5N2	IgGIA1H6N2	IgGIA1H6N3F1	IgGIA1H6N3F1S1	IgGI1H5N2	IgGI1H6N2	IgGI1H6N3F1	IgGI1H6N3F1S1	IgGIILE1H5N2	IgGIILE1H6N2	IgGIILE1H6N3F1	IgGIILE1H6N3F1S1	IgGIF1H5N2	IgGIF1H6N3F1	IgGIF1H6N3F1S1	IgGIF1H6N2
id_01_2-E,1_01_55390.raw	2					4614480.91135	894921.313703	2047501.01095	602299.882973	406302.280636	84725.7650724	164608.336138	113299.010944	611244.840027	601436.546422	63043.0979529	223626.438651
id_02_2-B,3_01_55429.raw	2					3880068.76269	727962.114664	1658317.36382	477723.666434					299079.565593	344878.685221	34806.1455217	121221.323438
id_03_2-D,4_01_55459.raw	2					4246900.75135	779774.347764	1775018.84596	499291.562406	320733.324188	54050.0280123	92705.1486857	97573.4654714				
id_04_2-F,3_01_55441.raw	2	7335524.31529	1640459.04339	4356547.32185	760833.911844									324245.121175	237857.28909	26683.8015196	203541.712907
id_06_2-H,3_01_55447.raw	2	6490427.73316	1448291.74715	3915489.28109	637699.655065									262666.670017	200865.21514	42370.5779895	172593.830111
id_08_2-A,2_01_55402.raw	2					347795.902038	62450.0955015	156170.226413	48946.2845096					4962012.19153	2665104.16349	708545.810411	1037744.19422
id_09_2-A,3_01_55426.raw	2					1205966.82303	195206.56828	610670.617882	144289.136102					4831352.61833	2607861.95888	588406.705097	1013381.37797
id_10_2-G,1_01_55396.raw	2					906319.803068	197354.339013	470976.118876	167749.242095	18856654.3099	3666282.48166	8885812.22704	2051738.57179	911731.851592	306998.419169	62864.4820133	88927.1493494
id_11_2-C,1_01_55384.raw	2	2037215.20642	377832.276024	1319955.08035	204936.337671					19571940.0834	3894012.58815	8932529.47812	2176695.03299	572530.850708	102736.713141	22451.2286845	40620.9613175
id_13_2-G,2_01_55420.raw	2					3853597.9532	715897.531112	1688440.76256	481176.118204					628349.077887	465562.520294	48988.4029911	158401.718543
id_14_2-A,4_01_55450.raw	2					3841548.34706	681079.064989	1702581.39195	459173.564695								
id_17_2-C,3_01_55432.raw	2	5115428.00496	988438.402976	3391330.82335	549947.635982	322217.720362	165596.811999	177730.870798	29634.6734327	3568499.3176	948301.922336	1849618.90812	257490.213123				
id_19_2-H,1_01_55399.raw	2	647939.354177	147446.266321	371290.504748	107288.082852					2191264.44433	500842.850674	1425166.09021	156020.963662	4073194.33829	1984508.42043	523620.26092	664593.323346
id_20_2-E,3_01_55438.raw	2					120278.491873	32228.7487718	23613.7579806	20198.4861229	94461.6352795	160079.386968	420245.208655	29463.2207966	3836225.60663	1931910.74157	485451.401931	656739.044502
id_22_2-H,2_01_55423.raw	2	1513853.16589	314907.82366	889270.333937	167011.700805	436917.552224	95185.1439635	235947.335065	67918.0238913	9743258.01385	1974906.21692	4886107.4757	933434.675624	378200.925048	60787.5124645	18838.8681315	
id_23_2-F,1_01_55393.raw	2					552089.535515	118141.511111	285153.275887	114259.071278	12211623.1949	2610653.30708	6342105.03441	1324977.83679	1919606.2966	790670.605183	174843.849149	206594.81722
id_24_2-C,4_01_55456.raw	2					365940.206236	132162.06139	70499.9102927	20725.6802448	11452061.3248	2293467.18869	5654395.63366	1118526.88524	421560.370265	35041.0738811	17998.7845339	29691.5707667
stand_01_2-B,4_01_55453.raw	2	48901.1350583	59943.9905585	41008.6794435	19226.1698797	163574.040181	75024.2920366	174981.251211	122979.572851					67750.1765103	227487.114816	32610.6593779	14836.9373784
stand_03_2-D,3_01_55435.raw	2	76973.5306736	53429.231647	70105.3470681	41332.9163769	684808.57283	124787.116424	405318.076692	147886.022249	103925.401557	314597.882719	78712.9724199	20239.6189725	86887.6464541	242337.787785	31046.1281815	10631.8981346
id_05_2-B,1_01_55381.raw	2	6533537.86129	1513184.56365	4082299.44451	768591.74422	776325.88863	236594.748523	404935.700532	108772.034829					280334.730456	306117.595565	29397.4221495	181528.37176
id_07_2-G,3_01_55444.raw	2	110786.21418	47222.0143244	74953.9280586	49895.6994682					48102.7221735	61511.5733405	552480.521173	35257.7322057	4909406.36599	2664313.49868	649394.237024	1055287.01758
id_12_2-D,2_01_55411.raw	2					573457.213007	121158.390451	322022.405196	177554.269198	13299629.8531	2627364.399	6227000.7512	1465126.79934	377654.30369	116541.76426	31571.4029796	25335.8318466
id_15_2-D,1_01_55387.raw	2	4470.9002598	10760.5242788	43431.7393416	104051.500914	4537728.84898	808283.325251	1986277.74999	659536.674433	5656373.79328	1086520.59764	2624915.92702	505418.653341	297733.285242	108702.886791	6990.6039478	36857.7602736
id_16_2-C,2_01_55408.raw	2	5556973.25002	1039228.60231	3399002.46577	578031.458949					746220.585771	410550.821071	449911.358062	61316.4304779	138007.100319	32129.8333384	13155.0191355	66564.5420163
id_18_2-A,1_01_55378.raw	2	5390321.53222	1048846.20577	3356703.19361	597008.316211	110392.259072	114861.026102	79300.1313836	15775.0101618					1898799.96201	1047192.68684	231006.000281	404855.464174
id_21_2-F,2_01_55417.raw	2	1415498.60139	314496.566627	853312.434778	158974.515432									3516964.99045	1809313.40692	458213.319754	624475.312465
stand_02_2-B,2_01_55405.raw	2	79865.0783856	67532.2419712	81563.9789825	33286.2235284	1378077.30094	208132.751866	618571.258796	212466.081752	190605.485175	96594.1484123	149351.554298	61336.4147963	141858.197226	281011.063384	43008.7786486	27059.3119564
stand_03_2-D,3_01_55435.raw	2	78487.7599744	60629.5616698	80591.8594782	34364.140228	684000.028312	125918.214296	398230.235179	148230.566859					105311.909412	263652.631716	33194.1176859	13107.3415949
id_01_2-E,1_01_55390.raw	3	0				0	19715.9896135	730575.80395	789274.979063	0	99082.9226276	115555.040871	113520.011403	0	790334.704701	22387.4731071	31663.5935274
id_02_2-B,3_01_55429.raw	3	0				0	18419.4119244	674005.219978	633596.492462	0				0	502831.020206		29833.5678084
id_03_2-D,4_01_55459.raw	3	0				0	31690.4036578	842763.836781	734945.443745	0	98240.8201721	175282.403175	39423.9740387	0			
id_04_2-F,3_01_55441.raw	3	0	61385.0927991	1381948.97843	878034.920102	0				0				0	318288.85911	56672.1709745	94506.198976
id_06_2-H,3_01_55447.raw	3	0	91405.9090475	1427003.2133	736789.475802	0				0				0	196364.282781	126669.702675	149642.677297
id_08_2-A,2_01_55402.raw	3	0				0	16965.5035228	174223.380741	102935.652896	0				0	1135461.83258	1040101.79196	78453.5898271
id_09_2-A,3_01_55426.raw	3	0				0	11062.538309	273393.378243	145107.911884	0				0	1165584.85808	902975.990337	85396.6725444
id_10_2-G,1_01_55396.raw	3	0				0	136220.306421	1245808.01087	767924.3919	0	154155.602753	2623437.78083	2461332.91195	0	712428.983855	150054.97076	97654.3034967
id_11_2-C,1_01_55384.raw	3	0	59156.7789627	618576.555868	235418.261308	0				0	127606.165415	2853902.19954	2527646.26083	0	676129.245463	103900.188635	185007.827491
id_13_2-G,2_01_55420.raw	3	0				0	75714.1548382	620951.130983	671019.120757	0				0	595467.329938	11354.0644516	57992.5320233
id_14_2-A,4_01_55450.raw	3	0				0	85284.0164857	759166.91214	692243.633227	0				0			
id_17_2-C,3_01_55432.raw	3	0	80053.1404931	1258211.55207	643305.985205	0	54308.38331	717300.201379	158340.381727	0	112267.282187	575426.115385	305708.200904	0			
id_19_2-H,1_01_55399.raw	3	0	34060.4552961	394036.319289	145158.939502	0				0	275982.290667	644603.525277	322521.203108	0	657430.205485	773648.319668	51638.8362675
id_20_2-E,3_01_55438.raw	3	0				0	27446.0755429	65874.6122792	55512.7972911	0	519327.266173	273858.524557	145451.532644	0	828728.656521	672774.648854	21924.0846095
id_22_2-H,2_01_55423.raw	3	0	10648.3026014	500833.561865	161523.91112	0	108223.065656	990916.339364	391200.143078	0	226944.143164	1430245.70287	1211536.51315	0	342771.917064	66555.8572109	
id_23_2-F,1_01_55393.raw	3	0				0	141770.83423	1078698.18527	485225.486182	0	226063.098999	2051607.95934	1588567.56644	0	613317.646942	215464.409359	82659.6020197
id_24_2-C,4_01_55456.raw	3	0				0	140737.32709	853028.774741	354548.161794	0	197564.820663	1654222.07701	1354870.6851	0	313508.978372	47937.684872	106996.839545
stand_01_2-B,4_01_55453.raw	3	0	147680.614674		42018.1681023	0	10404.4122709	265573.551262	336384.373878	0				0	390682.762744	54841.959009	11610.8572758
stand_03_2-D,3_01_55435.raw	3	0	72586.2080828	5468.9392509	66255.5410467	0	26456.3537004	320288.87517	333096.398627	0	102624.429831	34738.1572578	216132.265659	0	310129.051676	35813.2597837	6424.1196426
id_05_2-B,1_01_55381.raw	3	0	199467.905262	1278101.29108	749232.585412	0	116684.54605	407114.031187	189435.286941	0				0	373310.987427	78434.6092922	55076.8321882
id_07_2-G,3_01_55444.raw	3	0	71536.6357021	161864.121316	52516.2953461	0				0	111948.442062	152895.323264	140709.899882	0	1142680.21205	1020862.04556	51991.9794486
id_12_2-D,2_01_55411.raw	3	0				0	75276.3951441	954626.647268	639767.393433	0	184530.581016	1802751.71553	1809486.75806	0	548276.059461	91511.1373384	81058.2949407
id_15_2-D,1_01_55387.raw	3	0	52950.1122406	8667.2480914	202160.505821	0		1121390.2723	909480.268261	0	95249.8059824	931824.653013	567396.052282	0	319255.532186	26349.8297556	62644.4137026
id_16_2-C,2_01_55408.raw	3	0	91427.3917657	1153082.74923	612494.800862	0				0	158093.679574	128420.646151	37961.8544929	0	68067.3509364	72382.8408911	90256.6962713
id_18_2-A,1_01_55378.raw	3	0	172561.134654	1235408.59779	666798.913784	0	158188.249576	264089.772179	34991.3588334	0				0	388800.068334	292983.597202	65894.6707906
id_21_2-F,2_01_55417.raw	3	0	6824.2447618	497150.816387	136427.020792	0				0				0	631612.913942	680823.627868	117851.041973
stand_02_2-B,2_01_55405.raw	3	0	127014.30293	48285.4764964	78183.9891833	0	29325.6277922	329360.535769	424478.105581	0	60903.7382276	66688.1203736	184396.60224	0	482249.719655	88010.468248	54985.5439136
stand_03_2-D,3_01_55435.raw	3	0	158319.27044	7775.5938026	128069.527546	0	21530.0227121	302857.113925	326691.718947	0				0	366602.963038	31833.732541	8141.6345275
