Sample,Charge,IgGIA1H3N3F1,IgGIA1H3N4F1,IgGIA1H3N5F1,IgGIA1H4N2,IgGIA1H4N3F1,IgGIA1H4N4F1,IgGIA1H4N4F1S1,IgGIA1H4N4F2,IgGIA1H4N5F1,IgGIA1H5N2,IgGIA1H5N3F1,IgGIA1H5N4F1,IgGIA1H5N4F1S1,IgGIA1H5N4F1S2,IgGIA1H5N4F2,IgGIA1H5N4F2S1,IgGIA1H5N5F1,IgGIA1H6N2,IgGIA1H6N3F1,IgGIA1H6N3F1S1,IgGIF1H3N3F1,IgGIF1H3N4F1,IgGIF1H3N5F1,IgGIF1H4N2,IgGIF1H4N3F1,IgGIF1H4N4F1,IgGIF1H4N4F1S1,IgGIF1H4N4F2,IgGIF1H4N5F1,IgGIF1H5N2,IgGIF1H5N3F1,IgGIF1H5N4F1,IgGIF1H5N4F1S1,IgGIF1H5N4F1S2,IgGIF1H5N4F2,IgGIF1H5N4F2S1,IgGIF1H5N5F1,IgGIF1H6N2,IgGIF1H6N3F1,IgGIF1H6N3F1S1,IgGI1H3N3F1,IgGI1H3N4F1,IgGI1H3N5F1,IgGI1H4N2,IgGI1H4N3F1,IgGI1H4N4F1,IgGI1H4N4F1S1,IgGI1H4N4F2,IgGI1H4N5F1,IgGI1H5N2,IgGI1H5N3F1,IgGI1H5N4F1,IgGI1H5N4F1S1,IgGI1H5N4F1S2,IgGI1H5N4F2,IgGI1H5N4F2S1,IgGI1H5N5F1,IgGI1H6N2,IgGI1H6N3F1,IgGI1H6N3F1S1,IgGIILE1H3N3F1,IgGIILE1H3N4F1,IgGIILE1H3N5F1,IgGIILE1H4N2,IgGIILE1H4N3F1,IgGIILE1H4N4F1,IgGIILE1H4N4F1S1,IgGIILE1H4N4F2,IgGIILE1H4N5F1,IgGIILE1H5N2,IgGIILE1H5N3F1,IgGIILE1H5N4F1,IgGIILE1H5N4F1S1,IgGIILE1H5N4F1S2,IgGIILE1H5N4F2,IgGIILE1H5N4F2S1,IgGIILE1H5N5F1,IgGIILE1H6N2,IgGIILE1H6N3F1,IgGIILE1H6N3F1S1
"Y-NO_1_1-D,3_01_64557.raw",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8900202.043,7629485.447,371401.5344,331455.1876,5054871.993,6771305.298,95259.85328,146936.0233,353650.334,2308176.648,1274356.616,1773703.181,142017.6588,30826.69816,86919.1547,,55898.71906,326388.0008,525209.354,101573.1267,,,,,,,,,,,,,,,,,,,,
"Y-NO_2_1-G,1_01_64482.raw",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8732909.525,8052213.198,416422.0437,428374.2715,5264800.89,6974208.544,111773.9819,204924.6332,388412.6928,3073231.026,1783722.399,1820703.092,189085.6855,42648.46109,109674.6957,,55021.1314,457581.056,778978.7972,142202.8124,,,,,,,,,,,,,,,,,,,,
"Y-NO_3_1-C,4_01_64599.raw",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8317471.828,7309057.189,380420.9094,364300.718,4957631.622,6482992.539,93771.84356,142696.5578,369312.062,2535052.121,1446441.226,1784868.82,142408.3898,32569.06958,93327.6688,,49581.49174,406390.3969,640456.4924,115223.5268,,,,,,,,,,,,,,,,,,,,
"Y-WT_1_2-H,2_01_64733.raw",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11220475.92,12027122.16,555994.9397,493054.8908,6459590.311,10326992.32,125998.5015,284682.5593,604775.2499,3706074.208,1881173.494,2896968.835,232302.9934,34305.04841,171578.9351,,88207.14776,752974.9223,923669.2455,189327.7727,,,,,,,,,,,,,,,,,,,,
"Y-WT_2_1-F,2_01_64521.raw",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5634260.546,4903138.443,215201.165,186477.0213,3379430.216,4650959.306,52538.3212,78035.154,227728.5632,1395703.8,888997.545,1138963.809,69887.75761,14819.56935,46568.57331,,33095.86913,296714.6877,400233.8876,55881.00077,,,,,,,,,,,,,,,,,,,,
"Y-WT_3_1-F,3_01_64569.raw",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9094856.161,7951960.584,414881.893,477464.1096,5706685.856,7408810.051,111089.0681,182190.5815,438073.4131,2945155.454,1720413.998,2038761.819,185725.6538,33463.43197,110211.7342,,68313.26244,673637.8091,829251.7847,157205.9898,,,,,,,,,,,,,,,,,,,,
"YA-NO_1_1-F,1_01_64476.raw",2,8170386.087,9209487.423,371712.4216,492116.2204,3917370.273,1928916.364,28291.15917,0,83454.17604,4153495.699,3815675.186,361967.6686,0,0,0,0,0,831711.8425,1446394.095,166530.0452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YA-NO_2_1-D,2_01_64509.raw",2,8895889.732,10388579.37,390617.2963,471279.3253,3689446.8,2057916.453,32923.99033,0,88277.28462,3874812.549,3458881.269,325492.8648,0,0,0,0,0,863373.3099,1313631.961,141738.1252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YA-NO_3_1-D,1_01_64464.raw",2,9263831.111,11016925.4,439088.6009,491358.2521,4230955.556,2352132.507,41146.6028,0,98861.2566,4332220.939,4021855.388,439667.8503,0,0,0,0,0,894218.1926,1552717.402,196374.1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YA-WT_1_1-C,3_01_64551.raw",2,3519265.917,3811490.937,135775.3175,201298.7152,1639456.954,741515.0284,23177.10167,0,29033.38255,1672800.754,1449017.323,113864.358,0,0,0,0,0,473684.3572,501154.2433,38880.05702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
