Sample,Charge,IgGIA1H3N3F1,IgGIA1H3N4F1,IgGIA1H3N5F1,IgGIA1H4N3F1,IgGIA1H4N4F1,IgGIA1H4N4F1S1,IgGIA1H4N5F1,IgGIA1H5N3F1,IgGIA1H5N4F1,IgGIA1H5N4F1S1,IgGIA1H5N2,IgGIA1H6N2,IgGIA1H6N3F1,IgGIA1H6N3F1S1,IgGI1H3N3F1,IgGI1H3N4F1,IgGI1H3N5F1,IgGI1H4N3F1,IgGI1H4N4F1,IgGI1H4N4F1S1,IgGI1H4N4F2,IgGI1H5N3F1,IgGI1H5N4F1,IgGI1H5N4F1S1,IgGI1H5N4F1S2,IgGI1H4N5F1,IgGI1H5N4F2,IgGI1H5N2,IgGI1H5N5F1,IgGI1H6N2,IgGI1H6N3F1,IgGI1H6N3F1S1,IgGIF1H3N3F1,IgGIF1H3N4F1,IgGIF1H3N5F1,IgGIF1H4N3F1,IgGIF1H4N4F1,IgGIF1H4N4F1S1,IgGIF1H4N4F2,IgGIF1H4N5F1,IgGIF1H5N3F1,IgGIF1H5N2,IgGIF1H5N4F1,IgGIF1H5N4F1S1,IgGIF1H5N4F1S2,IgGIF1H5N4F2,IgGIF1H6N2,IgGIF1H6N3F1,IgGIF1H6N3F1S1,IgGIF1H5N5F1,IgGIILE1H3N3F1,IgGIILE1H3N4F1,IgGIILE1H3N5F1,IgGIILE1H4N4F1,IgGIILE1H4N4F1S1,IgGIILE1H4N5F1,IgGIILE1H5N3F1,IgGIILE1H5N4F1,IgGIILE1H5N2,IgGIILE1H6N2,IgGIILE1H6N3F1,IgGIILE1H6N3F1S1,IgGIILE1H4N3F1,IgGIILE1H5N4F1S1,IgGIILE1H4N4F2,IgGIILE1H5N4F2,IgGIILE1H5N4F2S1,IgGIILE1H5N5F1
"id_01_2-E,1_01_55390.raw",2,,,,,,,,,,,,,,,9571197.984,17799075,1490358.651,7563029.153,20178317,436388.5405,660458.841,4124295.079,5917562.957,900697.8753,286611.9906,1320103.902,454955.4843,4614480.911,265580.2823,894921.3137,2047501.011,602299.883,1167128.168,2825254.36,252118.8333,526530.7497,1900453.552,42045.26038,75712.35805,154471.1287,643094.8602,611244.84,572529.2626,66292.92886,13290.68968,139795.2812,223626.4387,601436.5464,63043.09795,34563.82622,412340.2709,487031.8947,42793.57412,182801.0741,24202.76482,95979.81754,308280.7092,55011.42684,406302.2806,84725.76507,164608.3361,113299.0109,182965.1315,9068.461315,,,,
"id_02_2-B,3_01_55429.raw",2,,,,,,,,,,,,,,,9606016.208,17384583.7,1886433.864,7235046.492,18663088.25,502041.0618,601389.8753,3353253.824,5290064.811,1107305.081,233823.992,1486262.071,375368.9838,3880068.763,275391.6908,727962.1147,1658317.364,477723.6664,2183101.96,5187055.211,1387572.27,1014896.895,4092325.778,477796.8259,43766.84793,690601.1877,253836.1609,299079.5656,1195941.6,712084.7142,27791.8314,134684.1163,121221.3234,344878.6852,34806.14552,117088.6511,,,,,,,,,,,,,,,,,,
"id_03_2-D,4_01_55459.raw",2,,,,,,,,,,,,,,,10402097.34,18519403.09,1516774.773,7745366.066,20927352.97,400097.5024,604174.7202,3651102.732,5754034.88,750583.189,228457.556,1468851.946,384987.5957,4246900.751,232175.371,779774.3478,1775018.846,499291.5624,,,,,,,,,,,,,,,,,,,399559.9265,655721.8773,29500.47133,197963.0581,13200.93602,119791.8277,208462.5326,47946.41245,320733.3242,54050.02801,92705.14869,97573.46547,156107.4307,1898.349821,,,,
"id_04_2-F,3_01_55441.raw",2,10878210.71,20697000.55,1054590.267,9098834.3,5521308.044,134351.3943,238826.6072,10065789.04,1540678.67,,7335524.315,1640459.043,4356547.322,760833.9118,,,,,,,,,,,,,,,,,,,301438.8419,587320.4903,439664.8738,243543.375,406112.5393,25490.88827,65203.23827,62848.28528,94491.84451,324245.1212,120788.1358,25056.06588,16249.4853,50757.58559,203541.7129,237857.2891,26683.80152,26889.89969,,,,,,,,,,,,,,,,,,
"id_05_2-B,1_01_55381.raw",2,9960385.134,21698778.61,939610.663,8413892.445,5724400.015,353147.852,213950.5409,9453887.701,1476514.512,,6533537.861,1513184.564,4082299.445,768591.7442,2699911.596,5945253.988,964879.0999,3307445.869,6662737.72,215238.9067,127045.0451,974248.98,2162559.227,611031.9585,65220.88785,522441.5231,134472.5151,776325.8886,184864.8173,236594.7485,404935.7005,108772.0348,1472855.594,4195157.338,1429944.617,660651.2894,3337664.581,398690.3493,59303.06642,655712.572,112332.463,280334.7305,945254.6909,596243.941,24135.20621,112743.3671,181528.3718,306117.5956,29397.42215,107982.9929,,,,,,,,,,,,,,,,,,
"id_06_2-H,3_01_55447.raw",2,9735851.493,18617255.57,969772.779,8040341.081,4915426.702,126536.3022,223723.5976,9051906.203,1388341.74,,6490427.733,1448291.747,3915489.281,637699.6551,,,,,,,,,,,,,,,,,,,332418.6556,644357.2884,393686.4342,280719.8233,481957.872,22569.92275,77509.98677,37534.71922,116919.6342,262666.67,123525.3037,27562.51114,11430.67724,76326.65097,172593.8301,200865.2151,42370.57799,24134.91612,,,,,,,,,,,,,,,,,,
"id_07_2-G,3_01_55444.raw",2,186386.7502,422544.8208,41579.53549,170358.4406,104111.0533,123664.8286,48455.08527,187820.0376,99965.55055,,110786.2142,47222.01432,74953.92806,49895.69947,,,,,,,,,,,,,,,,,,,11454679.92,24490117.68,2423860.666,6854347.515,15816312.8,394830.5826,497284.4202,1281459.743,4858820.959,4909406.366,3629428.536,460363.387,183544.4618,309135.5984,1055287.018,2664313.499,649394.237,160664.6212,26175.91263,44847.20665,105866.1027,24368.50472,198524.2312,101640.932,46589.56014,56802.0893,48102.72217,61511.57334,552480.5212,35257.73221,,,,,,
"id_08_2-A,2_01_55402.raw",2,,,,,,,,,,,,,,,919581.6226,1739442.222,168663.7484,660125.235,1939356.346,59866.85251,88681.34736,395192.2648,529283.5308,82953.00559,21368.78897,159393.5196,49124.42738,347795.902,44065.16638,62450.0955,156170.2264,48946.28451,10498144.5,23564365.79,2304886.485,6387051.822,14795621.71,412148.861,475780.227,1273256.518,4702704.746,4962012.192,3556195.102,503500.62,196616.6295,301087.0249,1037744.194,2665104.163,708545.8104,173557.3205,,,,,,,,,,,,,,,,,,
"id_09_2-A,3_01_55426.raw",2,,,,,,,,,,,,,,,3337698.312,5824566.422,490285.3452,2582445.571,6752052.438,169884.215,295748.5834,1367583.844,1878789.885,227500.5202,67179.75612,476934.1333,130690.0404,1205966.823,74616.29967,195206.5683,610670.6179,144289.1361,11311869.86,24919841.12,2366033.913,6508932.28,15793504.46,397180.8853,461652.8144,1224825.479,4629510.587,4831352.618,3589004.715,452913.3813,166215.6917,280129.0839,1013381.378,2607861.959,588406.7051,154323.6746,,,,,,,,,,,,,144454.1151,9174.371427,,,,
"id_10_2-G,1_01_55396.raw",2,,,,,,,,,,,,,,,1551411.557,2418315.712,681080.9252,1090081.97,2400127.265,36561.59527,46424.85215,886077.7221,699600.3823,73170.15552,11693.27874,127331.5359,91452.51436,906319.8031,479017.3995,197354.339,470976.1189,167749.2421,1242887.831,2949066.892,78489.91645,295888.8828,1584467.598,322568.9414,124231.3796,78204.87798,268864.4347,911731.8516,294369.4651,31524.73558,128549.6709,36112.355,88927.14935,306998.4192,62864.48201,28303.72135,17957821.26,24540093.03,1622255.577,9506412.365,272437.7333,486637.8554,20193885.45,3243740.737,18856654.31,3666282.482,8885812.227,2051738.572,8336622.709,190500.6294,,,,
