"","HC","peptide","glycan","det_rate_2","det_rate_3","flag"
"1","Y","IgGI","H3N3F1",1,1,0
"2","Y","IgGI","H3N4F1",1,1,0
"3","Y","IgGI","H3N5F1",1,1,0
"4","Y","IgGI","H4N2",1,1,0
"5","Y","IgGI","H4N3F1",1,1,0
"6","Y","IgGI","H4N4F1",1,1,0
"7","Y","IgGI","H4N4F1S1",1,1,0
"8","Y","IgGI","H4N4F2",1,1,0
"9","Y","IgGI","H4N5F1",1,1,0
"10","Y","IgGI","H5N2",1,1,0
"11","Y","IgGI","H5N3F1",1,1,0
"12","Y","IgGI","H5N4F1",1,1,0
"13","Y","IgGI","H5N4F1S1",1,1,0
"14","Y","IgGI","H5N4F1S2",1,1,0
"15","Y","IgGI","H5N4F2",1,1,0
"16","Y","IgGI","H5N4F2S1",1,1,0
"17","Y","IgGI","H5N5F1",1,1,0
"18","Y","IgGI","H6N2",1,1,0
"19","Y","IgGI","H6N3F1",1,1,0
"20","Y","IgGI","H6N3F1S1",1,1,0
"21","Y","IgGIA","H3N3F1",0,0,0
"22","Y","IgGIA","H3N4F1",0,0,0
"23","Y","IgGIA","H3N5F1",0,0,0
"24","Y","IgGIA","H4N2",0,0,0
"25","Y","IgGIA","H4N3F1",0,0,0
"26","Y","IgGIA","H4N4F1",0,0,0
"27","Y","IgGIA","H4N4F1S1",0,0,0
"28","Y","IgGIA","H4N4F2",0,0,0
"29","Y","IgGIA","H4N5F1",0,0,0
"30","Y","IgGIA","H5N2",0,0,0
"31","Y","IgGIA","H5N3F1",0,0,0
"32","Y","IgGIA","H5N4F1",0,0,0
"33","Y","IgGIA","H5N4F1S1",0,0,0
"34","Y","IgGIA","H5N4F1S2",0,0,0
"35","Y","IgGIA","H5N4F2",0,0,0
"36","Y","IgGIA","H5N4F2S1",0,0,0
"37","Y","IgGIA","H5N5F1",0,0,0
"38","Y","IgGIA","H6N2",0,0,0
"39","Y","IgGIA","H6N3F1",0,0,0
"40","Y","IgGIA","H6N3F1S1",0,0,0
"41","Y","IgGIF","H3N3F1",0,0,0
"42","Y","IgGIF","H3N4F1",0,0,0
"43","Y","IgGIF","H3N5F1",0,0,0
"44","Y","IgGIF","H4N2",0,0,0
"45","Y","IgGIF","H4N3F1",0,0,0
"46","Y","IgGIF","H4N4F1",0,0,0
"47","Y","IgGIF","H4N4F1S1",0,0,0
"48","Y","IgGIF","H4N4F2",0,0,0
"49","Y","IgGIF","H4N5F1",0,0,0
"50","Y","IgGIF","H5N2",0,0,0
