"","glycan","Term","Df","Df.res","F.value","Pr","p_adj","sign"
"1","Agalactosylation","HC",3,16,31.4966532797858,6.02544608381029e-07,2.41017843352412e-06,"sign"
"2","Agalactosylation","LC",1,16,11.2585170340681,0.0040214818587895,0.0107239516234387,"sign"
"3","Agalactosylation","HC:LC",3,16,0.731524376792413,0.548176646645408,0.62744660485054,"no"
"4","Galactosylation","HC",3,16,84.7058823529411,4.92420845407999e-10,6.83482721098362e-09,"sign"
"5","Galactosylation","LC",1,16,2.46238030095759,0.136164848614962,0.21786375778394,"no"
"6","Galactosylation","HC:LC",3,16,2.27206295671726,0.11935610311986,0.208613921144435,"no"
"7","Sialylation","HC",3,16,12.484375,0.000184273700081411,0.000552821100244233,"sign"
"8","Sialylation","LC",1,16,5.3878205128205,0.0338069169486414,0.073760546069763,"no"
"9","Sialylation","HC:LC",3,16,0.657068062827226,0.590240061352435,0.643898248748111,"no"
"10","Bisection","HC",3,16,44.327868852459,5.61830776683433e-08,2.69678772808048e-07,"sign"
"11","Bisection","LC",1,16,0.0216998191681736,0.884728737245167,0.884728737245167,"no"
"12","Bisection","HC:LC",3,16,1.76643464810518,0.194026891824614,0.273920317870043,"no"
"13","High Mannose","HC",3,16,54.7450980392157,1.23576234664036e-08,7.41457407984216e-08,"sign"
"14","High Mannose","LC",1,16,7.69686411149826,0.0135392782201963,0.0324942677284712,"sign"
"15","High Mannose","HC:LC",3,16,1.34518518518519,0.294982556993422,0.39331007599123,"no"
"16","Antennary fucosylation","HC",3,16,58.9013333333334,7.25652770522408e-09,5.80522216417926e-08,"sign"
"17","Antennary fucosylation","LC",1,16,1.95658465991317,0.180964185551893,0.27144627832784,"no"
"18","Antennary fucosylation","HC:LC",3,16,1.17701149425287,0.349568770158449,0.441560551779094,"no"
"19","Monoantennary","HC",3,16,20.8533333333333,8.94324816632171e-06,3.06625651416744e-05,"sign"
"20","Monoantennary","LC",1,16,2.8326417704011,0.111773813553147,0.208613921144435,"no"
"21","Monoantennary","HC:LC",3,16,0.3227808814401,0.808833205396312,0.843999866500499,"no"
"22","Hybrid","HC",3,16,83.0769230769231,5.69568934248635e-10,6.83482721098362e-09,"sign"
"23","Hybrid","LC",1,16,2.67129951355107,0.12169145400092,0.208613921144435,"no"
"24","Hybrid","HC:LC",3,16,0.729991204925242,0.549015779244223,0.62744660485054,"no"
