"","glycan","Term","Df","Df.res","F.value","Pr","p_adj","sign"
"1","Agalactosylation","HC",3,16,29.7201017811705,8.91503946850597e-07,4.27921894488287e-06,"sign"
"2","Agalactosylation","LC",1,16,10.541910331384,0.00505460706622383,0.0134789521765969,"sign"
"3","Agalactosylation","HC:LC",3,16,0.704849681808207,0.562938250032702,0.643358000037373,"no"
"4","Galactosylation","HC",3,16,84.7058823529411,4.92420845407999e-10,6.83482721098357e-09,"sign"
"5","Galactosylation","LC",1,16,2.12178619756427,0.164561453827492,0.263298326123987,"no"
"6","Galactosylation","HC:LC",3,16,2.2367758186398,0.123389876074526,0.213337570064188,"no"
"7","Sialylation","HC",3,16,19.6159420289855,1.31001305795322e-05,3.93003917385965e-05,"sign"
"8","Sialylation","LC",1,16,4.43966179861645,0.0512454581471291,0.111808272321009,"no"
"9","Sialylation","HC:LC",3,16,0.364764267990074,0.779354405499361,0.813239379651507,"no"
"10","Bisection","HC",3,16,27.84,1.3794930251938e-06,5.51797210077519e-06,"sign"
"11","Bisection","LC",1,16,0.797047970479705,0.385208618557522,0.486579307651607,"no"
"12","Bisection","HC:LC",3,16,0.618118768964022,0.61330719823059,0.669062398069734,"no"
"13","High Mannose","HC",3,16,54.7450980392157,1.23576234664035e-08,7.41457407984211e-08,"sign"
"14","High Mannose","LC",1,16,9.88973384030418,0.00626323085330351,0.0150317540479284,"sign"
"15","High Mannose","HC:LC",3,16,1.61178861788618,0.225989826004676,0.319044460241896,"no"
"16","Antennary fucosylation","HC",3,16,58.9013333333333,7.25652770522408e-09,5.80522216417926e-08,"sign"
"17","Antennary fucosylation","LC",1,16,1.95658465991317,0.180964185551893,0.27144627832784,"no"
"18","Antennary fucosylation","HC:LC",3,16,1.17701149425287,0.349568770158449,0.466091693544598,"no"
"19","Monoantennary","HC",3,16,21.9126984126984,6.53991868040584e-06,2.242257833282e-05,"sign"
"20","Monoantennary","LC",1,16,2.62927496580027,0.124446915870776,0.213337570064188,"no"
"21","Monoantennary","HC:LC",3,16,0.296296296296296,0.8275255450061,0.8275255450061,"no"
"22","Hybrid","HC",3,16,83.0769230769231,5.69568934248631e-10,6.83482721098357e-09,"sign"
"23","Hybrid","LC",1,16,2.86233403214535,0.110056245680588,0.213337570064188,"no"
"24","Hybrid","HC:LC",3,16,0.875056382498872,0.474588932411706,0.569506718894047,"no"
