glycan,Y-NO,Y-WT,YA-NO,YA-WT,YF-NO,YF-WT,YI-NO,YI-WT
H3N3F1,10.03502306,10.19296812,12.90681254,13.23282205,11.62669231,11.56220172,13.12761183,13.79831755
H3N4F1,22.27880052,22.17995682,32.45880618,30.28576641,30.1866846,29.91062578,27.08608299,22.33635023
H3N5F1,1.671592783,1.691550454,1.387056405,1.283781578,2.588750835,2.466825121,1.452166334,1.264341797
H4N3F1,7.629322945,7.766784071,10.42099751,11.05590951,6.488238925,6.866513227,3.594139362,4.710192393
H4N4F1,28.34578092,28.69538821,9.871752976,9.034002348,22.53307902,21.87909763,11.71658607,9.850730857
H4N4F1S1,1.101048992,1.127020285,0.650240108,0.898921984,1.190543789,1.20696534,0.83715931,0.849526254
H4N4F2,0.670745807,0.642918588,0,0,0.528563419,0.498940435,0,0
H4N5F1,1.282685927,1.474972052,0.309526557,0.293118986,1.313600375,1.314679914,0.41948829,0.388649531
H5N2,4.356145789,4.38592679,7.969135969,8.811030856,4.740678618,5.114510949,11.82983274,14.19191973
H5N3F1,4.957521083,4.55313206,13.7659813,14.08028891,5.396701901,5.667766221,16.13692446,17.35018247
H5N4F1,9.53960349,9.26536739,2.836689452,2.750379055,6.373981281,5.966420114,3.799060587,3.908604223
H5N4F1S1,2.324396227,2.474085006,0,0,1.534361601,1.408236606,0.38891659,0.391646994
H5N4F1S2,1.431128268,1.246025101,0,0,0.885939071,0.8276546,0,0
H5N4F2,0.457734931,0.418425577,0,0,0.318249714,0.309696922,0,0
H5N5F1,0.650759514,0.628510479,0,0,0.501977784,0.480903201,0,0
H6N2,0.785025838,0.826977877,1.526613107,1.991086078,0.807351137,1.080431672,2.436585521,2.795684807
H6N3F1,1.915490555,1.886422719,5.040623188,5.346765764,2.375525479,2.76087355,5.981559554,6.601741473
H6N3F1S1,0.567193349,0.543568403,0.855764703,0.936126465,0.609080143,0.677656998,1.193886359,1.562111676
